Spectra of the displacement (only positive half of the frequency range, not doubled in amplitude) 
Units as in the International System of Units (Hz, m, m/s, m/s^2) 
Time = 2012_11_12_11_15_04 - R= 0.63765 - M= 1.8 - Station =  INSH  - Channel = 1 
-------------------- 
f 	 Re 	 Im 	 Abs 
  6.5223595e-01 -6.9968022e-08 -5.0677930e-07  5.1158653e-07
  6.6038890e-01 -1.3794644e-07 -4.7334677e-07  4.9303791e-07
  6.6854185e-01 -2.2373025e-07 -4.4006266e-07  4.9367031e-07
  6.7669479e-01 -4.1595444e-07 -3.8487897e-07  5.6670090e-07
  6.8484774e-01 -4.6889349e-07 -2.3105354e-07  5.2273018e-07
  6.9300069e-01 -5.5198911e-07 -3.0651931e-08  5.5283951e-07
  7.0115364e-01 -4.4322664e-07  1.0333450e-07  4.5511303e-07
  7.0930659e-01 -3.6118648e-07  1.7560288e-07  4.0161181e-07
  7.1745954e-01 -3.3778632e-07  1.5772537e-07  3.7279604e-07
  7.2561249e-01 -3.5697732e-07  1.9787802e-07  4.0815257e-07
  7.3376544e-01 -3.5670662e-07  3.5621616e-07  5.0411265e-07
  7.4191839e-01 -1.9885727e-07  4.5237197e-07  4.9415040e-07
  7.5007134e-01 -9.3092137e-08  4.5782375e-07  4.6719239e-07
  7.5822429e-01  5.4037779e-08  4.6952098e-07  4.7262039e-07
  7.6637724e-01  1.4710655e-07  3.9463386e-07  4.2116056e-07
  7.7453019e-01  1.8529580e-07  3.5589331e-07  4.0124130e-07
  7.8268314e-01  2.5861197e-07  3.5563560e-07  4.3972358e-07
  7.9083608e-01  3.4851745e-07  3.0286166e-07  4.6172459e-07
  7.9898903e-01  4.6601896e-07  1.6235479e-07  4.9349037e-07
  8.0714198e-01  4.6095998e-07  2.1274456e-08  4.6145065e-07
  8.1529493e-01  3.8970090e-07 -1.3957437e-07  4.1394178e-07
  8.2344788e-01  3.1964500e-07 -1.5191788e-07  3.5390954e-07
  8.3160083e-01  3.2318332e-07 -1.8403417e-07  3.7190863e-07
  8.3975378e-01  3.1510124e-07 -2.9315963e-07  4.3038513e-07
  8.4790673e-01  2.0304087e-07 -3.7424212e-07  4.2577314e-07
  8.5605968e-01  7.0279526e-08 -3.7324320e-07  3.7980218e-07
  8.6421263e-01 -5.9070104e-08 -3.6770652e-07  3.7242095e-07
  8.7236558e-01 -1.3171418e-07 -2.5685447e-07  2.8865697e-07
  8.8051853e-01 -1.8717479e-07 -1.4541645e-07  2.3702393e-07
  8.8867148e-01 -1.0785842e-07 -1.3474857e-07  1.7259958e-07
  8.9682443e-01 -1.6966248e-07 -8.6758341e-08  1.9055804e-07
  9.0497738e-01 -1.6366618e-07 -5.8381190e-08  1.7376703e-07
  9.1313032e-01 -2.6620133e-08 -6.9439087e-08  7.4366782e-08
