Spectra of the displacement (only positive half of the frequency range, not doubled in amplitude) 
Units as in the International System of Units (Hz, m, m/s, m/s^2) 
Time = 2012_11_12_11_15_04 - R= 0.63765 - M= 1.8 - Station =  INSH  - Channel = 3 
-------------------- 
f 	 Re 	 Im 	 Abs 
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  8.2504847e-03  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.6500969e-02  0.0000000e+00  0.0000000e+00  0.0000000e+00
  2.4751454e-02  0.0000000e+00  0.0000000e+00  0.0000000e+00
  3.3001939e-02  0.0000000e+00  0.0000000e+00  0.0000000e+00
  4.1252424e-02 -1.8874269e-08  1.9836311e-07  1.9925903e-07
  4.9502908e-02 -1.8862467e-08  1.6506762e-07  1.6614184e-07
  5.7753393e-02 -1.8848347e-08  1.4124907e-07  1.4250109e-07
  6.6003878e-02 -1.8831815e-08  1.2335390e-07  1.2478310e-07
  7.4254362e-02 -1.8812757e-08  1.0940791e-07  1.1101356e-07
  8.2504847e-02 -1.8791036e-08  9.8226664e-08  1.0000790e-07
  9.0755332e-02 -1.8766484e-08  8.9056450e-08  9.1012264e-08
  9.9005817e-02 -1.8738902e-08  8.1394854e-08  8.3524060e-08
  1.0725630e-01 -1.8708050e-08  7.4894100e-08  7.7195319e-08
  1.1550679e-01 -1.8673643e-08  6.9305830e-08  7.1777455e-08
  1.2375727e-01 -1.8635333e-08  6.4447976e-08  6.7088131e-08
  1.3200776e-01 -1.8592712e-08  6.0184056e-08  6.2990551e-08
  1.4025824e-01 -1.8545266e-08  5.6409761e-08  5.9380031e-08
  1.4850872e-01 -1.8492249e-08  5.3044192e-08  5.6175169e-08
  1.5675921e-01 -1.8433177e-08  5.0023798e-08  5.3311935e-08
  1.6500969e-01 -1.8366867e-08  4.7297031e-08  5.0738062e-08
  1.7326018e-01 -1.8291101e-08  4.4824438e-08  4.8412753e-08
  1.8151066e-01 -1.8207753e-08  4.2572236e-08  4.6302457e-08
  1.8976115e-01 -1.8109105e-08  4.0508183e-08  4.4371755e-08
  1.9801163e-01 -1.7990014e-08  3.8623676e-08  4.2607850e-08
  2.0626212e-01 -1.7859119e-08  3.6887649e-08  4.0983494e-08
  2.1451260e-01 -1.7669890e-08  3.5284224e-08  3.9461393e-08
  2.2276309e-01 -1.7427472e-08  3.3847349e-08  3.8070459e-08
  2.3101357e-01 -1.7187660e-08  3.2488823e-08  3.6755126e-08
  2.3926406e-01 -1.6814685e-08  3.1292155e-08  3.5523691e-08
  2.4751454e-01 -1.6471632e-08  3.0294525e-08  3.4482936e-08
  2.5576503e-01 -1.6173554e-08  2.9349875e-08  3.3511177e-08
  2.6401551e-01 -1.5646464e-08  2.8782606e-08  3.2760499e-08
  2.7226600e-01 -1.5146001e-08  2.8788488e-08  3.2529654e-08
  2.8051648e-01 -1.3476821e-08  2.8609602e-08  3.1624896e-08
  2.8876697e-01 -1.3233509e-08  2.7661668e-08  3.0664208e-08
  2.9701745e-01 -1.3951863e-08  2.7141324e-08  3.0517305e-08
  3.0526793e-01 -1.7097514e-08  2.7450615e-08  3.2339778e-08
  3.1351842e-01 -1.5847890e-08  3.0094324e-08  3.4012115e-08
  3.2176890e-01 -1.3390932e-08  2.8672136e-08  3.1645038e-08
  3.3001939e-01 -1.2489071e-08  1.7581564e-08  2.1565905e-08
  3.3826987e-01 -1.9545817e-08 -1.5652691e-09  1.9608392e-08
  3.4652036e-01 -8.1115229e-08  2.9031504e-09  8.1167165e-08
  3.5477084e-01 -7.9780374e-08  4.6643892e-08  9.2415155e-08
  3.6302133e-01 -7.0612489e-08  7.3574397e-08  1.0197703e-07
  3.7127181e-01 -5.4682326e-08  5.8951860e-08  8.0408200e-08
  3.7952230e-01 -4.9079507e-08  5.4185832e-08  7.3108839e-08
  3.8777278e-01 -4.1521849e-08  8.1593163e-08  9.1550577e-08
  3.9602327e-01 -1.5442669e-08  4.3881448e-08  4.6519431e-08
  4.0427375e-01 -1.7698877e-08  6.4774225e-08  6.7148719e-08
  4.1252424e-01  5.0100323e-09  7.1135841e-08  7.1312049e-08
  4.2077472e-01  4.4582814e-08  3.9019423e-09  4.4753239e-08
  4.2902521e-01  1.7945782e-08 -7.0130349e-08  7.2390033e-08
  4.3727569e-01 -1.4320937e-07 -1.0756592e-07  1.7910709e-07
  4.4552617e-01 -1.3843080e-07  1.4196162e-08  1.3915680e-07
  4.5377666e-01 -1.1140942e-07  5.4859426e-08  1.2418380e-07
  4.6202714e-01 -3.4686075e-08  3.6566756e-08  5.0400907e-08
  4.7027763e-01 -5.9436230e-09 -6.8311605e-09  9.0549108e-09
  4.7852811e-01 -6.0854666e-08 -5.5526940e-08  8.2380407e-08
  4.8677860e-01 -8.9971531e-08 -3.9030036e-08  9.8072524e-08
  4.9502908e-01 -1.1639833e-07 -1.1867268e-08  1.1700172e-07
  5.0327957e-01 -7.9806764e-08  5.7623578e-09  8.0014525e-08
  5.1153005e-01 -1.1206585e-07 -6.4601187e-08  1.2935249e-07
  5.1978054e-01 -1.2465374e-07 -3.6868986e-08  1.2999184e-07
  5.2803102e-01 -1.8699121e-07 -3.8051437e-08  1.9082354e-07
  5.3628151e-01 -1.6522363e-07 -7.1072432e-09  1.6537642e-07
  5.4453199e-01 -1.4214936e-07  1.4491699e-08  1.4288614e-07
  5.5278248e-01 -2.4434152e-07  1.1936452e-08  2.4463290e-07
  5.6103296e-01 -9.7905609e-08  1.7294834e-07  1.9873761e-07
  5.6928345e-01 -7.1676399e-08  6.5593977e-08  9.7160053e-08
  5.7753393e-01 -7.8571594e-08  9.6539441e-08  1.2447232e-07
  5.8578441e-01 -5.9497944e-08  1.0351399e-07  1.1939494e-07
  5.9403490e-01 -5.3420420e-08  1.5434901e-07  1.6333205e-07
  6.0228538e-01  6.5444446e-08  1.4602003e-07  1.6001507e-07
  6.1053587e-01  4.7821590e-08  5.4451412e-08  7.2469723e-08
  6.1878635e-01  7.7271584e-08  9.3981714e-08  1.2166947e-07
  6.2703684e-01  1.0098993e-07  1.0079139e-08  1.0149165e-07
  6.3528732e-01  9.4618960e-08  2.0293504e-09  9.4640720e-08
  6.4353781e-01  8.6337239e-08 -1.2793838e-08  8.7280016e-08
  6.5178829e-01  1.4160621e-07 -5.4101525e-08  1.5158923e-07
  6.6003878e-01  4.0916549e-08 -1.1098137e-07  1.1828368e-07
  6.6828926e-01  2.5934556e-08 -8.9393967e-08  9.3079980e-08
  6.7653975e-01  4.4104757e-09 -7.9246499e-08  7.9369137e-08
  6.8479023e-01 -8.9734597e-08 -9.6364238e-08  1.3167522e-07
  6.9304072e-01 -6.4123838e-08 -3.7674119e-08  7.4372077e-08
  7.0129120e-01 -1.3456534e-07 -5.6130190e-09  1.3468235e-07
  7.0954169e-01 -8.9555929e-08  5.0546011e-09  8.9698459e-08
  7.1779217e-01 -1.7053794e-07  5.5871211e-09  1.7062944e-07
  7.2604266e-01 -2.0813199e-07  1.7787205e-07  2.7378348e-07
  7.3429314e-01 -4.8665628e-08  2.9408936e-07  2.9808873e-07
  7.4254362e-01  6.8325320e-08  1.9814117e-07  2.0959072e-07
  7.5079411e-01  9.0708116e-08  2.6089244e-07  2.7621156e-07
  7.5904459e-01  1.9457746e-07  1.5140466e-07  2.4654362e-07
  7.6729508e-01  1.7856683e-07  9.1451540e-08  2.0062277e-07
  7.7554556e-01  2.0365598e-07  1.1934250e-07  2.3604743e-07
  7.8379605e-01  2.4940784e-07 -2.5921747e-08  2.5075128e-07
  7.9204653e-01  2.4970321e-07 -1.0646213e-07  2.7145143e-07
  8.0029702e-01  8.5645357e-08 -2.5957002e-07  2.7333445e-07
  8.0854750e-01 -1.4048369e-08 -1.5406914e-07  1.5470830e-07
  8.1679799e-01 -6.8632602e-09 -1.8027883e-07  1.8040942e-07
  8.2504847e-01 -7.2375525e-08 -1.7582341e-07  1.9013703e-07
  8.3329896e-01 -1.6230997e-07 -1.2651798e-07  2.0579438e-07
  8.4154944e-01 -1.4316353e-07 -6.9823061e-08  1.5928294e-07
  8.4979993e-01 -2.1116834e-07 -3.1620406e-08  2.1352264e-07
  8.5805041e-01 -2.2520668e-07  1.2161884e-07  2.5594763e-07
  8.6630090e-01 -9.2206580e-08  1.5995796e-07  1.8463099e-07
  8.7455138e-01 -3.7330894e-08  2.0304880e-07  2.0645196e-07
  8.8280186e-01  9.8728042e-08  1.3934013e-07  1.7077148e-07
  8.9105235e-01  7.4567871e-08  3.8940858e-08  8.4123467e-08
  8.9930283e-01  1.2401565e-07  3.8694877e-08  1.2991218e-07
  9.0755332e-01  9.5013665e-08 -4.2303363e-08  1.0400563e-07
  9.1580380e-01  1.1799015e-07 -6.1645880e-08  1.3312359e-07
  9.2405429e-01  1.6482529e-07 -1.6010249e-07  2.2978290e-07
  9.3230477e-01  2.8517275e-08 -2.3953967e-07  2.4123120e-07
  9.4055526e-01 -4.3123659e-08 -2.4239963e-07  2.4620567e-07
  9.4880574e-01 -1.0468612e-07 -1.8279311e-07  2.1064782e-07
  9.5705623e-01 -1.5757978e-07 -1.4707860e-07  2.1555394e-07
  9.6530671e-01 -1.6088519e-07 -1.0832409e-07  1.9395400e-07
  9.7355720e-01 -1.5901302e-07 -1.3460915e-07  2.0833810e-07
  9.8180768e-01 -2.9095384e-07 -1.0100265e-07  3.0798648e-07
  9.9005817e-01 -3.6009612e-07 -1.8811487e-08  3.6058714e-07
  9.9830865e-01 -3.6948703e-07  2.0737084e-07  4.2370193e-07
  1.0065591e+00 -1.5268025e-07  3.2958884e-07  3.6323555e-07
  1.0148096e+00 -6.8863310e-08  2.7047486e-07  2.7910358e-07
  1.0230601e+00  7.5864528e-08  3.0807579e-07  3.1727925e-07
  1.0313106e+00  1.4137408e-07  1.9403298e-07  2.4007380e-07
  1.0395611e+00  1.5487920e-07  1.4568016e-07  2.1262708e-07
  1.0478116e+00  1.9059850e-07  1.6413308e-07  2.5153023e-07
  1.0560620e+00  3.4971140e-07  1.0437412e-07  3.6495482e-07
  1.0643125e+00  3.0870814e-07 -1.0612285e-07  3.2643954e-07
  1.0725630e+00  2.5440951e-07 -1.5628166e-07  2.9857689e-07
  1.0808135e+00  1.5015564e-07 -2.5196047e-07  2.9331007e-07
  1.0890640e+00  2.0263315e-08 -2.6099028e-07  2.6177572e-07
  1.0973145e+00 -6.8585139e-08 -2.3586407e-07  2.4563343e-07
  1.1055650e+00 -1.2917091e-07 -7.9987662e-08  1.5193140e-07
  1.1138154e+00 -1.4100931e-08 -1.0252876e-07  1.0349388e-07
  1.1220659e+00 -9.1318404e-08 -1.6007257e-07  1.8428858e-07
