Spectra of the velocity (only positive half of the frequency range, not doubled in amplitude) 
Units as in the International System of Units (Hz, m, m/s, m/s^2) 
Time = 2012_11_12_11_15_04 - R= 0.63765 - M= 1.8 - Station =  INSH  - Channel = 3 
-------------------- 
f 	 Re 	 Im 	 Abs 
  6.5178829e-01  2.2156233e-07  5.7992085e-07  6.2080436e-07
  6.6003878e-01  4.6025594e-07  1.6968690e-07  4.9053968e-07
  6.6828926e-01  3.7536395e-07  1.0889882e-07  3.9084146e-07
  6.7653975e-01  3.3686297e-07  1.8748159e-08  3.3738428e-07
  6.8479023e-01  4.1462293e-07 -3.8609781e-07  5.6655423e-07
  6.9304072e-01  1.6405208e-07 -2.7922746e-07  3.2385345e-07
  7.0129120e-01  2.4732884e-08 -5.9294097e-07  5.9345658e-07
  7.0954169e-01 -2.2534331e-08 -3.9925662e-07  3.9989204e-07
  7.1779217e-01 -2.5198035e-08 -7.6912973e-07  7.6954238e-07
  7.2604266e-01 -8.1142748e-07 -9.4946913e-07  1.2489620e-06
  7.3429314e-01 -1.3568400e-06 -2.2452860e-07  1.3752920e-06
  7.4254362e-01 -9.2443537e-07  3.1877446e-07  9.7785373e-07
  7.5079411e-01 -1.2307284e-06  4.2790452e-07  1.3029945e-06
  7.5904459e-01 -7.2208179e-07  9.2798230e-07  1.1758202e-06
  7.6729508e-01 -4.4089310e-07  8.6088089e-07  9.6721385e-07
  7.7554556e-01 -5.8154367e-07  9.9239449e-07  1.1502347e-06
  7.8379605e-01  1.2765776e-07  1.2282677e-06  1.2348838e-06
  7.9204653e-01  5.2981679e-07  1.2426668e-06  1.3508984e-06
  8.0029702e-01  1.3052256e-06  4.3066035e-07  1.3744389e-06
  8.0854750e-01  7.8271033e-07 -7.1369278e-08  7.8595740e-07
  8.1679799e-01  9.2520774e-07 -3.5222890e-08  9.2587796e-07
  8.2504847e-01  9.1145668e-07 -3.7518983e-07  9.8565749e-07
  8.3329896e-01  6.6241928e-07 -8.4981794e-07  1.0774924e-06
  8.4154944e-01  3.6919719e-07 -7.5699307e-07  8.4222626e-07
  8.4979993e-01  1.6883559e-07 -1.1275229e-06  1.1400936e-06
  8.5805041e-01 -6.5568241e-07 -1.2141545e-06  1.3798879e-06
  8.6630090e-01 -8.7067180e-07 -5.0189232e-07  1.0049703e-06
  8.7455138e-01 -1.1157467e-06 -2.0513208e-07  1.1344470e-06
  8.8280186e-01 -7.7289291e-07  5.4762547e-07  9.4723656e-07
  8.9105235e-01 -2.1801612e-07  4.1747919e-07  4.7097760e-07
  8.9930283e-01 -2.1864488e-07  7.0074876e-07  7.3406703e-07
  9.0755332e-01  2.4122755e-07  5.4179886e-07  5.9307397e-07
  9.1580380e-01  3.5472056e-07  6.7893482e-07  7.6601512e-07
  9.2405429e-01  9.2955573e-07  9.5697632e-07  1.3341205e-06
  9.3230477e-01  1.4031860e-06  1.6704974e-07  1.4130946e-06
  9.4055526e-01  1.4325050e-06 -2.5484715e-07  1.4549975e-06
  9.4880574e-01  1.0897252e-06 -6.2408863e-07  1.2557817e-06
  9.5705623e-01  8.8443682e-07 -9.4758422e-07  1.2962038e-06
  9.6530671e-01  6.5700738e-07 -9.7580100e-07  1.1763700e-06
  9.7355720e-01  8.2340958e-07 -9.7268907e-07  1.2744126e-06
  9.8180768e-01  6.2307317e-07 -1.7948592e-06  1.8999315e-06
  9.9005817e-01  1.1702097e-07 -2.2400568e-06  2.2431113e-06
  9.9830865e-01 -1.3007457e-06 -2.3176289e-06  2.6576951e-06
  1.0065591e+00 -2.0844509e-06 -9.6561058e-07  2.2972460e-06
  1.0148096e+00 -1.7246118e-06 -4.3908878e-07  1.7796305e-06
  1.0230601e+00 -1.9803347e-06  4.8766297e-07  2.0394952e-06
  1.0313106e+00 -1.2573173e-06  9.1609209e-07  1.5556579e-06
  1.0395611e+00 -9.5154710e-07  1.0116330e-06  1.3888280e-06
  1.0478116e+00 -1.0805856e-06  1.2548232e-06  1.6559729e-06
  1.0560620e+00 -6.9256753e-07  2.3204868e-06  2.4216335e-06
  1.0643125e+00  7.0967244e-07  2.0644155e-06  2.1829903e-06
  1.0725630e+00  1.0531996e-06  1.7144942e-06  2.0121431e-06
  1.0808135e+00  1.7110513e-06  1.0196997e-06  1.9918544e-06
  1.0890640e+00  1.7859019e-06  1.3865763e-07  1.7912765e-06
  1.0973145e+00  1.6261956e-06 -4.7286916e-07  1.6935517e-06
  1.1055650e+00  5.5563185e-07 -8.9728178e-07  1.0553868e-06
  1.1138154e+00  7.1752796e-07 -9.8682671e-08  7.2428215e-07
  1.1220659e+00  1.1285354e-06 -6.4380828e-07  1.2992618e-06
  1.1303164e+00  6.0034451e-07 -1.2467886e-06  1.3837974e-06
  1.1385669e+00 -1.6284287e-08 -1.6497207e-06  1.6498011e-06
  1.1468174e+00 -8.3364001e-07 -1.4495574e-06  1.6721759e-06
  1.1550679e+00 -1.7862833e-06 -6.2878264e-07  1.8937201e-06
  1.1633183e+00 -1.6216506e-06  2.3546128e-07  1.6386557e-06
  1.1715688e+00 -1.6592070e-06  9.0582415e-07  1.8903664e-06
  1.1798193e+00 -1.5273917e-06  1.7687538e-06  2.3369672e-06
  1.1880698e+00 -5.3763902e-07  2.1155763e-06  2.1828236e-06
  1.1963203e+00  2.2308660e-07  2.4405651e-06  2.4507398e-06
  1.2045708e+00  1.8292191e-06  2.2062807e-06  2.8659583e-06
  1.2128213e+00  2.0091197e-06  9.0869372e-07  2.2050593e-06
  1.2210717e+00  2.5132601e-06  5.0125352e-07  2.5627586e-06
  1.2293222e+00  2.0025246e-06 -9.3284823e-07  2.2091425e-06
  1.2375727e+00  9.5113474e-07 -1.0587934e-06  1.4232712e-06
  1.2458232e+00  7.8818335e-07 -3.6133811e-07  8.6706298e-07
  1.2540737e+00  1.5224783e-06 -2.1138794e-07  1.5370833e-06
  1.2623242e+00  1.9635253e-06 -1.0927780e-06  2.2471305e-06
  1.2705746e+00  1.9543551e-06 -1.9641663e-06  2.7708218e-06
  1.2788251e+00  6.7103562e-07 -3.3470788e-06  3.4136821e-06
  1.2870756e+00 -1.3530345e-06 -3.1548584e-06  3.4327590e-06
  1.2953261e+00 -2.9379702e-06 -2.2837952e-06  3.7212081e-06
  1.3035766e+00 -3.4224973e-06  5.0692262e-07  3.4598350e-06
  1.3118271e+00 -1.9449491e-06  9.9839737e-07  2.1862352e-06
  1.3200776e+00 -1.6663186e-06  1.9232088e-06  2.5446708e-06
  1.3283280e+00 -5.3857149e-07  2.4416100e-06  2.5003037e-06
  1.3365785e+00  1.6531146e-07  2.2132850e-06  2.2194500e-06
  1.3448290e+00  6.7617546e-07  2.0677080e-06  2.1754608e-06
  1.3530795e+00  1.5594679e-06  1.9889508e-06  2.5274227e-06
  1.3613300e+00  1.9678944e-06  1.2235835e-06  2.3172753e-06
  1.3695805e+00  2.2995590e-06  4.1539495e-07  2.3367766e-06
  1.3778309e+00  2.1336644e-06 -1.9275359e-08  2.1337514e-06
  1.3860814e+00  1.7822683e-06 -5.9553907e-07  1.8791347e-06
  1.3943319e+00  1.7515316e-06 -6.9183670e-07  1.8832156e-06
  1.4025824e+00  1.2079427e-06 -1.0713611e-06  1.6146021e-06
  1.4108329e+00  1.3362213e-06 -1.0239890e-06  1.6834610e-06
  1.4190834e+00  8.8441026e-07 -1.9913369e-06  2.1788997e-06
  1.4273339e+00  1.5547798e-07 -1.8458129e-06  1.8523495e-06
  1.4355843e+00  4.9697460e-08 -1.4266170e-06  1.4274824e-06
  1.4438348e+00  1.4481096e-07 -1.8511901e-06  1.8568455e-06
  1.4520853e+00 -2.1328425e-07 -2.0375313e-06  2.0486640e-06
  1.4603358e+00 -1.6729389e-06 -2.9753628e-06  3.4134305e-06
  1.4685863e+00 -2.8075537e-06 -2.0348224e-06  3.4673996e-06
  1.4768368e+00 -3.7270050e-06 -8.1180434e-07  3.8143928e-06
  1.4850872e+00 -2.7164263e-06  5.0647157e-07  2.7632382e-06
  1.4933377e+00 -2.3738155e-06  9.3170036e-07  2.5501109e-06
  1.5015882e+00 -6.9344319e-07  5.7770633e-07  9.0255640e-07
  1.5098387e+00 -2.4680992e-06 -2.5584524e-08  2.4682318e-06
  1.5180892e+00 -2.3882947e-06  7.0298743e-07  2.4896069e-06
  1.5263397e+00 -2.9900684e-06  1.4284780e-06  3.3137680e-06
  1.5345902e+00 -2.4906969e-06  2.7066445e-06  3.6782463e-06
  1.5428406e+00 -1.1555230e-06  3.5444470e-06  3.7280475e-06
  1.5510911e+00  4.8750120e-08  3.6797725e-06  3.6800954e-06
  1.5593416e+00  1.1136721e-06  3.8580517e-06  4.0155732e-06
  1.5675921e+00  2.0395998e-06  3.3694836e-06  3.9387038e-06
