Spectra of the acceleration (only positive half of the frequency range, not doubled in amplitude) 
Units as in the International System of Units (Hz, m, m/s, m/s^2) 
Time = 2012_11_12_11_15_04 - R= 0.63765 - M= 1.8 - Station =  INSH  - Channel = 1 
-------------------- 
f 	 Re 	 Im 	 Abs 
  6.5223595e-01  1.1750837e-06  8.5111465e-06  8.5918820e-06
  6.6038890e-01  2.3750336e-06  8.1496448e-06  8.4886686e-06
  6.6854185e-01  3.9476772e-06  7.7648210e-06  8.7107176e-06
  6.7669479e-01  7.5195382e-06  6.9577623e-06  1.0244702e-05
  6.8484774e-01  8.6820442e-06  4.2781935e-06  9.6788859e-06
  6.9300069e-01  1.0465442e-05  5.8114554e-07  1.0481565e-05
  7.0115364e-01  8.6022484e-06 -2.0055407e-06  8.8329423e-06
  7.0930659e-01  7.1739643e-06 -3.4878625e-06  7.9769010e-06
  7.1745954e-01  6.8643058e-06 -3.2052073e-06  7.5757540e-06
  7.2561249e-01  7.4201018e-06 -4.1130766e-06  8.4838264e-06
  7.3376544e-01  7.5820285e-06 -7.5716035e-06  1.0715238e-05
  7.4191839e-01  4.3212907e-06 -9.8303209e-06  1.0738192e-05
  7.5007134e-01  2.0676540e-06 -1.0168648e-05  1.0376733e-05
  7.5822429e-01 -1.2264578e-06 -1.0656390e-05  1.0726735e-05
  7.6637724e-01 -3.4109624e-06 -9.1503831e-06  9.7654583e-06
  7.7453019e-01 -4.3883577e-06 -8.4286158e-06  9.5025916e-06
  7.8268314e-01 -6.2543230e-06 -8.6007617e-06  1.0634362e-05
  7.9083608e-01 -8.6051257e-06 -7.4778542e-06  1.1400285e-05
  7.9898903e-01 -1.1744782e-05 -4.0917255e-06  1.2437127e-05
  8.0714198e-01 -1.1855581e-05 -5.4716471e-07  1.1868201e-05
  8.1529493e-01 -1.0226350e-05  3.6626457e-06  1.0862467e-05
  8.2344788e-01 -8.5565735e-06  4.0666880e-06  9.4738007e-06
  8.3160083e-01 -8.8234515e-06  5.0244442e-06  1.0153735e-05
  8.3975378e-01 -8.7723063e-06  8.1614597e-06  1.1981769e-05
  8.4790673e-01 -5.7628773e-06  1.0622056e-05  1.2084652e-05
  8.5605968e-01 -2.0332774e-06  1.0798408e-05  1.0988168e-05
  8.6421263e-01  1.7416813e-06  1.0841822e-05  1.0980827e-05
  8.7236558e-01  3.9572121e-06  7.7169184e-06  8.6723905e-06
  8.8051853e-01  5.7290694e-06  4.4509250e-06  7.2548583e-06
  8.8867148e-01  3.3627631e-06  4.2011324e-06  5.3812349e-06
  8.9682443e-01  5.3871666e-06  2.7547731e-06  6.0506478e-06
  9.0497738e-01  5.2916866e-06  1.8875920e-06  5.6182694e-06
  9.1313032e-01  8.7626505e-07  2.2857529e-06  2.4479597e-06
  9.2128327e-01  4.9955355e-06  6.7336482e-06  8.3843541e-06
  9.2943622e-01  7.6449105e-06  5.8789472e-06  9.6439970e-06
  9.3758917e-01  9.7346304e-06  1.6321524e-06  9.8705091e-06
  9.4574212e-01  8.6154174e-06 -1.7695111e-06  8.7952594e-06
  9.5389507e-01  6.1555667e-06 -8.4517229e-07  6.2133178e-06
  9.6204802e-01  4.2627946e-06 -5.1082267e-07  4.2932922e-06
  9.7020097e-01  6.7824812e-06  4.7523042e-06  8.2816934e-06
  9.7835392e-01  1.1993034e-05  7.7825967e-06  1.4296912e-05
  9.8650687e-01  2.0523729e-05  3.5132080e-07  2.0526736e-05
  9.9465982e-01  2.4410537e-05 -4.5831124e-06  2.4837054e-05
  1.0028128e+00  2.2892479e-05 -1.7991720e-05  2.9116449e-05
  1.0109657e+00  1.6667694e-05 -2.5462139e-05  3.0432426e-05
  1.0191187e+00  5.6234382e-06 -2.8373766e-05  2.8925657e-05
  1.0272716e+00 -4.5441408e-07 -2.6434350e-05  2.6438256e-05
  1.0354246e+00 -4.1783978e-06 -2.6887289e-05  2.7210023e-05
  1.0435775e+00 -7.5265038e-06 -2.6282259e-05  2.7338716e-05
  1.0517305e+00 -1.3842846e-05 -2.5179796e-05  2.8734066e-05
  1.0598834e+00 -1.4153518e-05 -2.6004253e-05  2.9606473e-05
  1.0680364e+00 -1.9769022e-05 -2.6941293e-05  3.3416276e-05
  1.0761893e+00 -3.3559889e-05 -2.7459243e-05  4.3362151e-05
  1.0843423e+00 -4.9431639e-05 -1.5254354e-05  5.1731830e-05
  1.0924952e+00 -5.4870260e-05  5.7849187e-06  5.5174366e-05
  1.1006482e+00 -5.0348579e-05  2.0376361e-05  5.4315518e-05
  1.1088011e+00 -4.2078246e-05  3.5400080e-05  5.4988585e-05
  1.1169541e+00 -3.4083048e-05  4.4618833e-05  5.6147078e-05
  1.1251070e+00 -2.5340587e-05  5.4744633e-05  6.0325120e-05
  1.1332600e+00 -3.7962945e-06  5.8491055e-05  5.8614123e-05
  1.1414129e+00  6.3730253e-06  5.4859207e-05  5.5228146e-05
  1.1495659e+00  1.9522648e-05  4.7081093e-05  5.0968256e-05
  1.1577188e+00  2.6095126e-05  4.1179883e-05  4.8751804e-05
  1.1658718e+00  3.1138645e-05  3.8758282e-05  4.9717398e-05
  1.1740247e+00  4.2109325e-05  3.4376246e-05  5.4359190e-05
  1.1821777e+00  5.1922564e-05  3.2512452e-05  6.1261834e-05
  1.1903306e+00  6.5715375e-05  1.5641161e-05  6.7551139e-05
  1.1984836e+00  7.4539583e-05 -9.3859658e-06  7.5128196e-05
  1.2066365e+00  6.2260761e-05 -2.8552331e-05  6.8495532e-05
  1.2147895e+00  4.6797708e-05 -4.5529172e-05  6.5291125e-05
  1.2229424e+00  3.0640444e-05 -5.2486193e-05  6.0775302e-05
  1.2310953e+00  1.2718062e-05 -5.5522623e-05  5.6960607e-05
  1.2392483e+00 -1.2676051e-06 -4.6800944e-05  4.6818108e-05
  1.2474012e+00 -8.8485415e-06 -3.9108659e-05  4.0097181e-05
  1.2555542e+00 -1.3592783e-05 -3.7857769e-05  4.0224053e-05
  1.2637071e+00 -1.5082537e-05 -3.1636194e-05  3.5047563e-05
  1.2718601e+00 -1.7239497e-05 -3.2437954e-05  3.6734468e-05
  1.2800130e+00 -2.3428159e-05 -2.2189370e-05  3.2268356e-05
  1.2881660e+00 -3.0858331e-05 -1.8042266e-05  3.5745768e-05
  1.2963189e+00 -3.2855180e-05 -1.1958568e-05  3.4963842e-05
  1.3044719e+00 -2.0220065e-05  1.9368786e-06  2.0312620e-05
  1.3126248e+00 -2.2781801e-05 -2.3327611e-07  2.2782996e-05
  1.3207778e+00 -1.7688003e-05  8.3922192e-07  1.7707900e-05
  1.3289307e+00 -1.2077262e-05 -5.9469928e-06  1.3462057e-05
  1.3370837e+00 -1.5293895e-05 -9.2530150e-06  1.7875164e-05
  1.3452366e+00 -1.5546638e-05 -1.2498812e-05  1.9947888e-05
  1.3533896e+00 -2.6597888e-05 -1.9887412e-05  3.3210793e-05
  1.3615425e+00 -4.7073776e-05 -2.5982887e-05  5.3768492e-05
  1.3696955e+00 -7.0848225e-05 -6.9936686e-07  7.0851676e-05
  1.3778484e+00 -6.6247329e-05  3.2036673e-05  7.3587071e-05
  1.3860014e+00 -6.6278999e-05  6.3685363e-05  9.1916979e-05
  1.3941543e+00 -4.0378278e-05  8.2145668e-05  9.1533142e-05
  1.4023073e+00 -1.1343238e-05  1.0253602e-04  1.0316154e-04
  1.4104602e+00  1.0112515e-05  1.0715760e-04  1.0763370e-04
  1.4186132e+00  3.7295574e-05  1.0397197e-04  1.1045872e-04
  1.4267661e+00  6.6718524e-05  8.9409887e-05  1.1155935e-04
  1.4349191e+00  8.6124708e-05  7.8416502e-05  1.1647580e-04
  1.4430720e+00  1.0897582e-04  5.3417969e-05  1.2136396e-04
  1.4512250e+00  1.1975708e-04  1.6680757e-05  1.2091321e-04
  1.4593779e+00  1.0794568e-04 -1.1192556e-05  1.0852439e-04
  1.4675309e+00  1.1258846e-04 -4.6703120e-05  1.2189070e-04
  1.4756838e+00  9.3101290e-05 -7.6235797e-05  1.2033182e-04
  1.4838368e+00  4.7281724e-05 -1.0190066e-04  1.1233568e-04
  1.4919897e+00  2.7217131e-05 -9.2193644e-05  9.6127209e-05
  1.5001427e+00  1.9263545e-06 -7.5199291e-05  7.5223961e-05
  1.5082956e+00  6.1592927e-06 -5.7857548e-05  5.8184471e-05
  1.5164486e+00  1.2174014e-05 -7.3210905e-05  7.4216192e-05
  1.5246015e+00  2.8470450e-07 -8.4447702e-05  8.4448182e-05
  1.5327545e+00 -8.4719246e-06 -1.0423381e-04  1.0457753e-04
  1.5409074e+00 -4.8988543e-05 -1.0101340e-04  1.1226569e-04
  1.5490604e+00 -7.3788558e-05 -9.0001350e-05  1.1638296e-04
  1.5572133e+00 -9.8021945e-05 -7.7130192e-05  1.2472918e-04
  1.5653663e+00 -1.2612732e-04 -4.8046206e-05  1.3496866e-04
  1.5735192e+00 -1.2514723e-04 -8.1532953e-06  1.2541254e-04
  1.5816722e+00 -1.2117153e-04  1.0445951e-05  1.2162095e-04
  1.5898251e+00 -1.2507348e-04  3.0722765e-05  1.2879155e-04
  1.5979781e+00 -1.0696852e-04  6.8628027e-05  1.2709080e-04
  1.6061310e+00 -1.0043326e-04  8.4591541e-05  1.3131096e-04
  1.6142840e+00 -8.8669621e-05  1.2373852e-04  1.5222853e-04
  1.6224369e+00 -3.7973054e-05  1.3767230e-04  1.4281322e-04
  1.6305899e+00 -1.0679647e-05  1.2645465e-04  1.2690482e-04
  1.6387428e+00  2.8977668e-05  1.1481391e-04  1.1841427e-04
  1.6468958e+00  2.0336703e-05  1.0860195e-04  1.1048966e-04
  1.6550487e+00  3.2040314e-05  9.5656280e-05  1.0087966e-04
  1.6632017e+00  5.7841726e-05  1.1045283e-04  1.2468157e-04
  1.6713546e+00  5.8057338e-05  9.3017795e-05  1.0964928e-04
  1.6795076e+00  8.7093696e-05  8.6107279e-05  1.2247357e-04
  1.6876605e+00  1.0507934e-04  6.4280715e-05  1.2318148e-04
