Spectra of the velocity (only positive half of the frequency range, not doubled in amplitude) 
Units as in the International System of Units (Hz, m, m/s, m/s^2) 
Time = 2012_11_12_11_15_04 - R= 0.63765 - M= 1.8 - Station =  INSH  - Channel = 1 
-------------------- 
f 	 Re 	 Im 	 Abs 
  0.0000000e+00 -8.9965514e-10  0.0000000e+00  8.9965514e-10
  8.1529493e-03  4.6891638e-08  6.3485686e-10  4.6895936e-08
  1.6305899e-02  4.6918843e-08  1.2705441e-09  4.6936043e-08
  2.4458848e-02  4.6964383e-08  1.9079024e-09  4.7003121e-08
  3.2611797e-02  4.7028560e-08  2.5477939e-09  4.7097523e-08
  4.0764747e-02  4.7111800e-08  3.1911128e-09  4.7219751e-08
  4.8917696e-02  4.7214660e-08  3.8387977e-09  4.7370460e-08
  5.7070645e-02  4.7337833e-08  4.4918444e-09  4.7550469e-08
  6.5223595e-02  4.7482160e-08  5.1513203e-09  4.7760775e-08
  7.3376544e-02  4.7648634e-08  5.8183806e-09  4.8002561e-08
  8.1529493e-02  4.7838419e-08  6.4942863e-09  4.8277221e-08
  8.9682443e-02  4.8052861e-08  7.1804259e-09  4.8586376e-08
  9.7835392e-02  4.8293508e-08  7.8783393e-09  4.8931904e-08
  1.0598834e-01  4.8562132e-08  8.5897475e-09  4.9315966e-08
  1.1414129e-01  4.8860753e-08  9.3165857e-09  4.9741049e-08
  1.2229424e-01  4.9191670e-08  1.0061043e-08  5.0210008e-08
  1.3044719e-01  4.9557502e-08  1.0825605e-08  5.0726125e-08
  1.3860014e-01  4.9961270e-08  1.1613116e-08  5.1293206e-08
  1.4675309e-01  5.0406414e-08  1.2426864e-08  5.1915638e-08
  1.5490604e-01  5.0896860e-08  1.3270705e-08  5.2598497e-08
  1.6305899e-01  5.1437360e-08  1.4149366e-08  5.3347976e-08
  1.7121194e-01  5.2033651e-08  1.5068389e-08  5.4171554e-08
  1.7936489e-01  5.2690760e-08  1.6033914e-08  5.5076334e-08
  1.8751783e-01  5.3413551e-08  1.7055702e-08  5.6070531e-08
  1.9567078e-01  5.4215416e-08  1.8148824e-08  5.7172469e-08
  2.0382373e-01  5.5109384e-08  1.9324352e-08  5.8399270e-08
  2.1197668e-01  5.6061851e-08  2.0589043e-08  5.9723027e-08
  2.2012963e-01  5.7042865e-08  2.2003553e-08  6.1139552e-08
  2.2828258e-01  5.8165473e-08  2.3655264e-08  6.2791669e-08
  2.3643553e-01  5.9463519e-08  2.5493252e-08  6.4697882e-08
  2.4458848e-01  6.0471866e-08  2.7559674e-08  6.6455867e-08
  2.5274143e-01  6.1023711e-08  3.0127385e-08  6.8055511e-08
  2.6089438e-01  6.2462609e-08  3.3749263e-08  7.0997115e-08
  2.6904733e-01  6.4990516e-08  3.7790192e-08  7.5178892e-08
  2.7720028e-01  6.5407295e-08  4.2928334e-08  7.8236539e-08
  2.8535323e-01  6.4591270e-08  5.3157131e-08  8.3652332e-08
  2.9350618e-01  7.3228750e-08  6.4724510e-08  9.7732861e-08
  3.0165913e-01  8.9377257e-08  7.6866986e-08  1.1788481e-07
  3.0981207e-01  9.3834265e-08  8.3936235e-08  1.2589742e-07
  3.1796502e-01  9.3693288e-08  1.0832633e-07  1.4322369e-07
  3.2611797e-01  1.2894359e-07  1.3367708e-07  1.8573102e-07
  3.3427092e-01  1.9123760e-07  1.1658955e-07  2.2397532e-07
  3.4242387e-01  1.9204598e-07  1.2594314e-07  2.2965917e-07
  3.5057682e-01  1.9258885e-07  1.0141079e-07  2.1765710e-07
  3.5872977e-01  2.2012775e-07  9.7288679e-08  2.4066848e-07
  3.6688272e-01  2.4808391e-07  2.9434634e-08  2.4982398e-07
  3.7503567e-01  2.1947987e-07  1.2535954e-08  2.1983759e-07
  3.8318862e-01  1.5987897e-07  7.4431037e-08  1.7635551e-07
  3.9134157e-01  2.5436072e-07 -5.2555921e-08  2.5973352e-07
  3.9949452e-01  1.8767373e-07 -9.9462238e-08  2.1240096e-07
  4.0764747e-01  1.1193899e-07 -1.4414519e-07  1.8250527e-07
  4.1580042e-01  5.9124169e-08 -3.1935268e-08  6.7197684e-08
  4.2395337e-01  9.6321074e-08 -2.9176351e-08  1.0064298e-07
  4.3210631e-01  2.2401215e-07 -1.6516616e-07  2.7831871e-07
  4.4025926e-01  1.2310708e-07 -1.5060298e-07  1.9451635e-07
