Spectra of the velocity (only positive half of the frequency range, not doubled in amplitude) 
Units as in the International System of Units (Hz, m, m/s, m/s^2) 
Time = 2012_11_12_11_15_04 - R= 0.63765 - M= 1.8 - Station =  INSH  - Channel = 2 
-------------------- 
f 	 Re 	 Im 	 Abs 
  0.0000000e+00  8.8931279e-10  0.0000000e+00  8.8931279e-10
  8.2243606e-03 -2.5891491e-08 -1.3979248e-09  2.5929201e-08
  1.6448721e-02 -2.5789217e-08 -2.7929208e-09  2.5940011e-08
  2.4673082e-02 -2.5618962e-08 -4.1820648e-09  2.5958060e-08
  3.2897442e-02 -2.5381023e-08 -5.5624441e-09  2.5983401e-08
  4.1121803e-02 -2.5075821e-08 -6.9311627e-09  2.6016106e-08
  4.9346163e-02 -2.4703893e-08 -8.2853462e-09  2.6056272e-08
  5.7570524e-02 -2.4265900e-08 -9.6221484e-09  2.6104016e-08
  6.5794884e-02 -2.3762621e-08 -1.0938757e-08  2.6159483e-08
  7.4019245e-02 -2.3194956e-08 -1.2232401e-08  2.6222845e-08
  8.2243606e-02 -2.2563929e-08 -1.3500357e-08  2.6294306e-08
  9.0467966e-02 -2.1870686e-08 -1.4739958e-08  2.6374102e-08
  9.8692327e-02 -2.1116497e-08 -1.5948604e-08  2.6462510e-08
  1.0691669e-01 -2.0302763e-08 -1.7123772e-08  2.6559853e-08
  1.1514105e-01 -1.9431012e-08 -1.8263030e-08  2.6666505e-08
  1.2336541e-01 -1.8502907e-08 -1.9364058e-08  2.6782911e-08
  1.3158977e-01 -1.7520260e-08 -2.0424657e-08  2.6909592e-08
  1.3981413e-01 -1.6485012e-08 -2.1442792e-08  2.7047161e-08
  1.4803849e-01 -1.5399284e-08 -2.2416611e-08  2.7196368e-08
  1.5626285e-01 -1.4265169e-08 -2.3344775e-08  2.7358245e-08
  1.6448721e-01 -1.3085279e-08 -2.4227241e-08  2.7535137e-08
  1.7271157e-01 -1.1866020e-08 -2.5056362e-08  2.7724064e-08
  1.8093593e-01 -1.0589394e-08 -2.5836384e-08  2.7922285e-08
  1.8916029e-01 -9.2920391e-09 -2.6608666e-08  2.8184447e-08
  1.9738465e-01 -7.9669906e-09 -2.7241494e-08  2.8382599e-08
  2.0560901e-01 -6.4805731e-09 -2.8031300e-08  2.8770672e-08
  2.1383337e-01 -5.3729582e-09 -2.8707404e-08  2.9205885e-08
  2.2205774e-01 -3.7698294e-09 -2.8739493e-08  2.8985687e-08
  2.3028210e-01 -1.8237029e-09 -3.0176917e-08  3.0231973e-08
  2.3850646e-01 -2.8751047e-10 -3.1391264e-08  3.1392581e-08
  2.4673082e-01  1.3400589e-09 -3.1481951e-08  3.1510459e-08
  2.5495518e-01  2.9954061e-09 -3.1322712e-08  3.1465612e-08
  2.6317954e-01  7.1719426e-09 -2.5777660e-08  2.6756766e-08
  2.7140390e-01  7.5856595e-09 -3.5189531e-08  3.5997851e-08
  2.7962826e-01 -1.8703788e-08 -4.5570886e-08  4.9259896e-08
  2.8785262e-01  4.7997497e-09 -2.2646836e-08  2.3149877e-08
  2.9607698e-01  2.1183216e-08 -7.8439493e-08  8.1249509e-08
  3.0430134e-01 -2.1492454e-08 -6.2569072e-08  6.6157497e-08
  3.1252570e-01 -2.5857734e-08  3.7322422e-09  2.6125696e-08
  3.2075006e-01 -9.8572780e-08  5.2916617e-08  1.1187833e-07
  3.2897442e-01 -1.2241303e-07 -2.8063323e-08  1.2558861e-07
  3.3719878e-01 -1.0622318e-07  2.3453245e-08  1.0878151e-07
  3.4542314e-01 -1.4868999e-08 -1.2616659e-07  1.2703974e-07
  3.5364750e-01 -2.0229058e-07 -1.1985608e-07  2.3513179e-07
  3.6187186e-01 -8.0088084e-09  5.2872690e-07  5.2878755e-07
  3.7009623e-01  2.0143937e-07  4.2154158e-07  4.6719923e-07
  3.7832059e-01  3.4178638e-07  1.9243767e-07  3.9223741e-07
  3.8654495e-01  2.3556796e-07  4.0774647e-07  4.7090280e-07
  3.9476931e-01  4.6836529e-07  2.4036465e-07  5.2644203e-07
  4.0299367e-01  5.2886236e-07  3.2581879e-07  6.2117090e-07
  4.1121803e-01  8.3165657e-07  2.3999747e-07  8.6559311e-07
  4.1944239e-01  7.1803062e-07 -2.4149599e-07  7.5755415e-07
  4.2766675e-01  7.7569328e-07 -2.3244909e-07  8.0977321e-07
  4.3589111e-01  7.4988777e-07 -6.3094264e-07  9.8001034e-07
  4.4411547e-01  2.8159447e-07 -3.3713920e-07  4.3927018e-07
  4.5233983e-01  5.0140768e-07 -4.7712798e-07  6.9214216e-07
  4.6056419e-01  1.8532375e-07 -5.7399346e-07  6.0316945e-07
  4.6878855e-01 -2.3465767e-08 -7.7918722e-07  7.7954048e-07
  4.7701291e-01 -8.3412236e-09 -1.0533976e-06  1.0534306e-06
  4.8523727e-01 -5.1062884e-07 -9.2871748e-07  1.0598387e-06
  4.9346163e-01 -6.3854705e-07 -9.1976015e-07  1.1196879e-06
  5.0168599e-01 -9.0664775e-07 -4.5295472e-07  1.0134980e-06
  5.0991035e-01 -8.3388960e-07 -3.0132656e-07  8.8666204e-07
  5.1813472e-01 -7.0130482e-07 -5.0484744e-07  8.6411769e-07
  5.2635908e-01 -1.0875221e-06 -2.7225367e-07  1.1210826e-06
  5.3458344e-01 -1.0166321e-06 -3.8655746e-07  1.0876431e-06
  5.4280780e-01 -1.4976483e-06  1.8221524e-07  1.5086924e-06
  5.5103216e-01 -1.1742583e-06  8.8473572e-07  1.4702516e-06
  5.5925652e-01 -5.5306463e-07  1.0605005e-06  1.1960526e-06
  5.6748088e-01 -2.9521824e-07  1.1688326e-06  1.2055387e-06
  5.7570524e-01  9.3424358e-08  8.6249206e-07  8.6753713e-07
  5.8392960e-01 -1.0116614e-07  9.4880017e-07  9.5417836e-07
  5.9215396e-01  2.1300878e-07  1.1470608e-06  1.1666710e-06
  6.0037832e-01  3.7631676e-07  1.1758108e-06  1.2345628e-06
  6.0860268e-01  6.5151110e-07  1.2848853e-06  1.4406238e-06
  6.1682704e-01  1.1057416e-06  1.1768810e-06  1.6148416e-06
  6.2505140e-01  1.3025402e-06  1.0992103e-06  1.7043692e-06
  6.3327576e-01  1.9618389e-06  3.5791591e-07  1.9942206e-06
  6.4150012e-01  1.1752804e-06 -6.9514505e-08  1.1773344e-06
  6.4972448e-01  9.0276397e-07  6.1775955e-09  9.0278510e-07
  6.5794884e-01  1.3467809e-06  1.6475483e-07  1.3568209e-06
  6.6617321e-01  1.5469740e-06 -1.1775089e-07  1.5514489e-06
  6.7439757e-01  1.7518789e-06 -1.2403219e-06  2.1465037e-06
  6.8262193e-01  9.3010555e-07 -1.4720826e-06  1.7412994e-06
  6.9084629e-01  2.6466463e-07 -1.4226290e-06  1.4470385e-06
  6.9907065e-01  6.4919481e-07 -1.2812953e-06  1.4363745e-06
  7.0729501e-01  1.6228374e-07 -1.6487111e-06  1.6566787e-06
  7.1551937e-01 -1.9187792e-07 -1.7970472e-06  1.8072620e-06
  7.2374373e-01 -2.0634298e-07 -1.8916168e-06  1.9028378e-06
  7.3196809e-01 -9.5062468e-07 -1.9103174e-06  2.1337759e-06
  7.4019245e-01 -1.5588665e-06 -1.8317731e-06  2.4052979e-06
  7.4841681e-01 -1.9686173e-06 -1.0932082e-06  2.2517900e-06
  7.5664117e-01 -1.9824167e-06 -8.1331329e-07  2.1427680e-06
  7.6486553e-01 -2.2991587e-06 -7.0682024e-07  2.4053535e-06
  7.7308989e-01 -1.9240765e-06  2.8854796e-08  1.9242929e-06
  7.8131425e-01 -2.1571294e-06  8.0425940e-08  2.1586282e-06
  7.8953861e-01 -2.5029934e-06  7.1468709e-07  2.6030278e-06
  7.9776297e-01 -2.2429026e-06  2.0327165e-06  3.0269702e-06
  8.0598733e-01 -1.8675210e-06  2.3556412e-06  3.0061071e-06
  8.1421170e-01 -8.4424674e-07  2.3774116e-06  2.5228632e-06
  8.2243606e-01 -6.0896898e-07  2.3822072e-06  2.4588116e-06
  8.3066042e-01 -5.7290752e-07  2.4526402e-06  2.5186637e-06
  8.3888478e-01  6.3973996e-07  2.9887240e-06  3.0564258e-06
  8.4710914e-01  6.7994188e-07  3.1773832e-06  3.2493207e-06
  8.5533350e-01  2.0575479e-06  2.6541927e-06  3.3583094e-06
  8.6355786e-01  2.3307585e-06  1.7005155e-06  2.8851669e-06
  8.7178222e-01  1.9739089e-06  1.6486408e-06  2.5718345e-06
  8.8000658e-01  2.7563522e-06  1.1394525e-06  2.9825877e-06
  8.8823094e-01  3.2640710e-06  1.0627129e-06  3.4327130e-06
  8.9645530e-01  3.3574668e-06 -4.8581940e-07  3.3924333e-06
  9.0467966e-01  2.6148322e-06 -7.1271520e-07  2.7102234e-06
  9.1290402e-01  3.0118969e-06 -6.5968431e-07  3.0832947e-06
  9.2112838e-01  2.9891454e-06 -2.2025485e-06  3.7129787e-06
  9.2935274e-01  3.0264415e-06 -2.9651576e-06  4.2369219e-06
  9.3757710e-01  1.7766437e-06 -3.5613364e-06  3.9798969e-06
  9.4580146e-01  7.9728200e-07 -3.4239135e-06  3.5155145e-06
  9.5402582e-01  5.0281808e-07 -3.3421289e-06  3.3797414e-06
  9.6225019e-01 -5.2175338e-07 -3.4072136e-06  3.4469307e-06
  9.7047455e-01 -1.1982118e-06 -3.2646704e-06  3.4776119e-06
  9.7869891e-01 -1.0684943e-06 -2.3423619e-06  2.5745562e-06
  9.8692327e-01 -9.1094742e-07 -2.5954520e-06  2.7506720e-06
  9.9514763e-01 -1.3237151e-06 -3.9218134e-06  4.1391837e-06
  1.0033720e+00 -3.5049316e-06 -3.7069839e-06  5.1015954e-06
  1.0115963e+00 -5.4212880e-06 -2.9712606e-06  6.1821318e-06
  1.0198207e+00 -6.3611778e-06 -1.0734800e-06  6.4511194e-06
  1.0280451e+00 -5.9250140e-06  1.1924497e-06  6.0438173e-06
  1.0362694e+00 -5.0271344e-06  1.4681387e-06  5.2371282e-06
  1.0444938e+00 -4.7402875e-06  2.7238909e-06  5.4671663e-06
  1.0527182e+00 -4.4358657e-06  3.9936688e-06  5.9687767e-06
  1.0609425e+00 -3.2064623e-06  4.3554668e-06  5.4084648e-06
  1.0691669e+00 -2.5252138e-06  3.7467048e-06  4.5182410e-06
  1.0773912e+00 -3.4792259e-06  4.9572016e-06  6.0563075e-06
  1.0856156e+00 -1.1122153e-06  6.9908719e-06  7.0787932e-06
  1.0938400e+00  1.4193638e-06  7.3671193e-06  7.5026022e-06
  1.1020643e+00  3.7794069e-06  6.7511989e-06  7.7370927e-06
  1.1102887e+00  5.2122390e-06  5.0988228e-06  7.2914628e-06
  1.1185130e+00  5.9428548e-06  3.9202057e-06  7.1193775e-06
  1.1267374e+00  5.9223682e-06  2.4060230e-06  6.3924480e-06
  1.1349618e+00  6.7046073e-06  1.8348871e-06  6.9511560e-06
  1.1431861e+00  7.6361319e-06  3.5226292e-07  7.6442527e-06
  1.1514105e+00  6.6384327e-06 -1.6528644e-06  6.8411074e-06
  1.1596348e+00  6.5599636e-06 -2.1120277e-06  6.8915734e-06
  1.1678592e+00  6.2738935e-06 -3.3131237e-06  7.0949650e-06
  1.1760836e+00  5.6050116e-06 -5.7811579e-06  8.0522010e-06
  1.1843079e+00  3.4052628e-06 -7.1830398e-06  7.9493318e-06
  1.1925323e+00  9.2951058e-07 -6.9821369e-06  7.0437367e-06
  1.2007566e+00  1.0706262e-07 -6.2568829e-06  6.2577988e-06
  1.2089810e+00 -6.7702360e-07 -6.6036499e-06  6.6382643e-06
  1.2172054e+00 -2.9453944e-06 -7.1567854e-06  7.7391812e-06
  1.2254297e+00 -5.2549275e-06 -6.6612704e-06  8.4845027e-06
  1.2336541e+00 -6.4525501e-06 -4.2960203e-06  7.7518510e-06
  1.2418784e+00 -5.8924291e-06 -3.3181333e-06  6.7624500e-06
  1.2501028e+00 -6.4313104e-06 -2.4828083e-06  6.8939169e-06
  1.2583272e+00 -6.0997203e-06 -6.2373779e-07  6.1315281e-06
  1.2665515e+00 -5.7285630e-06  1.0776418e-07  5.7295765e-06
  1.2747759e+00 -4.6224837e-06  2.5748345e-07  4.6296494e-06
  1.2830002e+00 -4.8910117e-06  3.9307492e-07  4.9067814e-06
  1.2912246e+00 -5.4287134e-06  1.2649132e-06  5.5741308e-06
  1.2994490e+00 -5.3890885e-06  2.8184184e-06  6.0815917e-06
  1.3076733e+00 -5.4913820e-06  5.8906106e-06  8.0532334e-06
  1.3158977e+00 -3.3033519e-06  6.8872933e-06  7.6385170e-06
  1.3241220e+00 -2.6973780e-06  7.8878997e-06  8.3363547e-06
  1.3323464e+00 -1.6851416e-06  8.9572150e-06  9.1143515e-06
  1.3405708e+00  1.1728292e-06  9.9249197e-06  9.9939762e-06
  1.3487951e+00  3.4051682e-06  8.5486084e-06  9.2018409e-06
  1.3570195e+00  3.0917896e-06  7.6688674e-06  8.2686571e-06
  1.3652439e+00  4.2691439e-06  8.8658691e-06  9.8401842e-06
  1.3734682e+00  7.4887211e-06  8.6291671e-06  1.1425562e-05
  1.3816926e+00  1.0206766e-05  5.5961994e-06  1.1640254e-05
  1.3899169e+00  1.1641045e-05  1.9942125e-06  1.1810623e-05
  1.3981413e+00  1.2197732e-05 -1.8465142e-06  1.2336705e-05
  1.4063657e+00  1.0561692e-05 -5.7731422e-06  1.2036549e-05
  1.4145900e+00  8.5245872e-06 -8.1303466e-06  1.1780116e-05
  1.4228144e+00  5.8293093e-06 -9.0815555e-06  1.0791455e-05
  1.4310387e+00  3.9207838e-06 -9.9429773e-06  1.0688094e-05
  1.4392631e+00  2.3330044e-06 -9.7910525e-06  1.0065169e-05
  1.4474875e+00  8.8492846e-07 -9.9475460e-06  9.9868298e-06
  1.4557118e+00 -4.7283102e-07 -1.1090566e-05  1.1100640e-05
  1.4639362e+00 -2.9177912e-06 -9.8817300e-06  1.0303499e-05
  1.4721605e+00 -5.8114344e-06 -9.4763775e-06  1.1116407e-05
  1.4803849e+00 -7.2625590e-06 -6.5927570e-06  9.8086293e-06
  1.4886093e+00 -7.9527995e-06 -4.8046897e-06  9.2915049e-06
  1.4968336e+00 -7.4969886e-06 -3.6248112e-06  8.3273102e-06
  1.5050580e+00 -8.1070940e-06 -2.7468640e-06  8.5598035e-06
  1.5132823e+00 -9.4415135e-06 -7.1926798e-07  9.4688713e-06
  1.5215067e+00 -9.5033985e-06  1.0294735e-06  9.5589957e-06
  1.5297311e+00 -1.0755815e-05  2.5688993e-06  1.1058336e-05
  1.5379554e+00 -1.1071880e-05  5.7139355e-06  1.2459357e-05
  1.5461798e+00 -1.0059547e-05  8.7374908e-06  1.3324347e-05
  1.5544041e+00 -7.3418075e-06  1.1321629e-05  1.3493755e-05
  1.5626285e+00 -4.8075664e-06  1.2903717e-05  1.3770207e-05
  1.5708529e+00 -1.3261888e-06  1.2905536e-05  1.2973497e-05
  1.5790772e+00  1.0997612e-06  1.2369121e-05  1.2417915e-05
  1.5873016e+00  2.6927964e-06  1.1931476e-05  1.2231568e-05
  1.5955259e+00  6.8380423e-06  1.1295610e-05  1.3204152e-05
  1.6037503e+00  1.0264837e-05  9.0613595e-06  1.3692155e-05
  1.6119747e+00  1.1633276e-05  5.5345922e-06  1.2882734e-05
  1.6201990e+00  1.3986410e-05  3.3860974e-06  1.4390459e-05
  1.6284234e+00  1.4483880e-05 -9.1711805e-07  1.4512887e-05
  1.6366478e+00  1.3977160e-05 -5.7191909e-06  1.5101992e-05
  1.6448721e+00  9.8161120e-06 -7.7764557e-06  1.2523151e-05
  1.6530965e+00  7.1918686e-06 -7.7085709e-06  1.0542535e-05
  1.6613208e+00  6.7297584e-06 -7.4821938e-06  1.0063442e-05
