Spectra of the displacement (only positive half of the frequency range, not doubled in amplitude) 
Units as in the International System of Units (Hz, m, m/s, m/s^2) 
Time = 2012_11_12_11_15_04 - R= 0.63765 - M= 1.8 - Station =  INSH  - Channel = 2 
-------------------- 
f 	 Re 	 Im 	 Abs 
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  8.2243606e-03  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.6448721e-02  0.0000000e+00  0.0000000e+00  0.0000000e+00
  2.4673082e-02  0.0000000e+00  0.0000000e+00  0.0000000e+00
  3.2897442e-02  0.0000000e+00  0.0000000e+00  0.0000000e+00
  4.1121803e-02 -2.6825886e-08  9.7051698e-08  1.0069091e-07
  4.9346163e-02 -2.6722519e-08  7.9676847e-08  8.4038640e-08
  5.7570524e-02 -2.6600635e-08  6.7083598e-08  7.2165109e-08
  6.5794884e-02 -2.6460374e-08  5.7480738e-08  6.3278643e-08
  7.4019245e-02 -2.6301904e-08  4.9873407e-08  5.6383924e-08
  8.2243606e-02 -2.6125417e-08  4.3664925e-08  5.0883820e-08
  9.0467966e-02 -2.5931137e-08  3.8475804e-08  4.6398398e-08
  9.8692327e-02 -2.5719317e-08  3.4053255e-08  4.2674435e-08
  1.0691669e-01 -2.5490249e-08  3.0222459e-08  3.9536689e-08
  1.1514105e-01 -2.5244269e-08  2.6858724e-08  3.6860062e-08
  1.2336541e-01 -2.4981765e-08  2.3870784e-08  3.4552900e-08
  1.3158977e-01 -2.4703175e-08  2.1190371e-08  3.2546562e-08
  1.3981413e-01 -2.4409023e-08  1.8765422e-08  3.0788658e-08
  1.4803849e-01 -2.4099911e-08  1.6555642e-08  2.9238587e-08
  1.5626285e-01 -2.3776837e-08  1.4529187e-08  2.7864588e-08
  1.6448721e-01 -2.3441854e-08  1.2661087e-08  2.6642516e-08
  1.7271157e-01 -2.3089616e-08  1.0934622e-08  2.5547922e-08
  1.8093593e-01 -2.2726211e-08  9.3146474e-09  2.4561012e-08
  1.8916029e-01 -2.2387894e-08  7.8180993e-09  2.3713719e-08
  1.9738465e-01 -2.1965327e-08  6.4239338e-09  2.2885421e-08
  2.0560901e-01 -2.1698075e-08  5.0163912e-09  2.2270399e-08
  2.1383337e-01 -2.1366754e-08  3.9990617e-09  2.1737771e-08
  2.2205774e-01 -2.0598392e-08  2.7019414e-09  2.0774847e-08
  2.3028210e-01 -2.0856183e-08  1.2604164e-09  2.0894234e-08
  2.3850646e-01 -2.0947336e-08  1.9185524e-10  2.0948214e-08
  2.4673082e-01 -2.0307590e-08 -8.6441170e-10  2.0325979e-08
  2.5495518e-01 -1.9553101e-08 -1.8698725e-09  1.9642306e-08
  2.6317954e-01 -1.5588757e-08 -4.3371537e-09  1.6180861e-08
  2.7140390e-01 -2.0635620e-08 -4.4483341e-09  2.1109630e-08
  2.7962826e-01 -2.5937407e-08  1.0645563e-08  2.8037066e-08
  2.8785262e-01 -1.2521532e-08 -2.6538021e-09  1.2799666e-08
  2.9607698e-01 -4.2164822e-08 -1.1386949e-08  4.3675334e-08
  3.0430134e-01 -3.2724723e-08  1.1240931e-08  3.4601532e-08
  3.1252570e-01  1.9006590e-09  1.3168153e-08  1.3304614e-08
  3.2075006e-01  2.6257021e-08  4.8911433e-08  5.5513597e-08
  3.2897442e-01 -1.3576790e-08  5.9222350e-08  6.0758670e-08
  3.3719878e-01  1.1069731e-08  5.0136431e-08  5.1343945e-08
  3.4542314e-01 -5.8131706e-08  6.8509440e-09  5.8534013e-08
  3.5364750e-01 -5.3939834e-08  9.1038522e-08  1.0581833e-07
  3.6187186e-01  2.3253949e-07  3.5223558e-09  2.3256617e-07
  3.7009623e-01  1.8127833e-07 -8.6626313e-08  2.0091279e-07
  3.7832059e-01  8.0956224e-08 -1.4378544e-07  1.6500958e-07
  3.8654495e-01  1.6788440e-07 -9.6992097e-08  1.9388821e-07
  3.9476931e-01  9.6905261e-08 -1.8882585e-07  2.1224004e-07
  4.0299367e-01  1.2867614e-07 -2.0886447e-07  2.4532003e-07
  4.1121803e-01  9.2886939e-08 -3.2187853e-07  3.3501309e-07
  4.1944239e-01 -9.1634229e-08 -2.7245249e-07  2.8744946e-07
  4.2766675e-01 -8.6505256e-08 -2.8867201e-07  3.0135476e-07
  4.3589111e-01 -2.3037322e-07 -2.7380312e-07  3.5782673e-07
  4.4411547e-01 -1.2081851e-07 -1.0091329e-07  1.5741857e-07
  4.5233983e-01 -1.6787661e-07 -1.7641938e-07  2.4352896e-07
  4.6056419e-01 -1.9835215e-07 -6.4041433e-08  2.0843435e-07
  4.6878855e-01 -2.6453611e-07  7.9666895e-09  2.6465604e-07
  4.7701291e-01 -3.5146519e-07  2.7830420e-09  3.5147621e-07
  4.8523727e-01 -3.0461382e-07  1.6748323e-07  3.4762078e-07
  4.9346163e-01 -2.9664794e-07  2.0594898e-07  3.6113014e-07
  5.0168599e-01 -1.4369543e-07  2.8762507e-07  3.2152225e-07
  5.0991035e-01 -9.4051066e-08  2.6027644e-07  2.7674795e-07
  5.1813472e-01 -1.5507350e-07  2.1541913e-07  2.6543020e-07
  5.2635908e-01 -8.2321213e-08  3.2883353e-07  3.3898122e-07
  5.3458344e-01 -1.1508499e-07  3.0266936e-07  3.2381059e-07
  5.4280780e-01  5.3426749e-08  4.3912069e-07  4.4235890e-07
  5.5103216e-01  2.5553874e-07  3.3916172e-07  4.2465365e-07
  5.5925652e-01  3.0180050e-07  1.5739284e-07  3.4037633e-07
  5.6748088e-01  3.2780927e-07  8.2796522e-08  3.3810380e-07
  5.7570524e-01  2.3843777e-07 -2.5827363e-08  2.3983249e-07
  5.8392960e-01  2.5860350e-07  2.7573685e-08  2.6006937e-07
  5.9215396e-01  3.0829887e-07 -5.7250991e-08  3.1356956e-07
  6.0037832e-01  3.1169696e-07 -9.9758221e-08  3.2727159e-07
  6.0860268e-01  3.3600877e-07 -1.7037587e-07  3.7673576e-07
  6.1682704e-01  3.0366119e-07 -2.8530565e-07  4.1666465e-07
  6.2505140e-01  2.7988860e-07 -3.3166186e-07  4.3397836e-07
  6.3327576e-01  8.9951470e-08 -4.9304961e-07  5.0118777e-07
  6.4150012e-01 -1.7246415e-08 -2.9158481e-07  2.9209440e-07
  6.4972448e-01  1.5132489e-09 -2.2113889e-07  2.2114406e-07
  6.5794884e-01  3.9853472e-08 -3.2578041e-07  3.2820904e-07
  6.6617321e-01 -2.8131777e-08 -3.6958640e-07  3.7065550e-07
  6.7439757e-01 -2.9271066e-07 -4.1343593e-07  5.0656569e-07
  6.8262193e-01 -3.4321960e-07 -2.1685634e-07  4.0598814e-07
  6.9084629e-01 -3.2774068e-07 -6.0972586e-08  3.3336408e-07
  6.9907065e-01 -2.9170798e-07 -1.4779989e-07  3.2701430e-07
  7.0729501e-01 -3.7099162e-07 -3.6516954e-08  3.7278448e-07
  7.1551937e-01 -3.9972216e-07  4.2679934e-08  4.0199425e-07
  7.2374373e-01 -4.1597620e-07  4.5375876e-08  4.1844375e-07
  7.3196809e-01 -4.1536845e-07  2.0669838e-07  4.6395600e-07
  7.4019245e-01 -3.9386480e-07  3.3518488e-07  5.1718312e-07
  7.4841681e-01 -2.3247672e-07  4.1863727e-07  4.7885550e-07
  7.5664117e-01 -1.7107559e-07  4.1698950e-07  4.5071842e-07
  7.6486553e-01 -1.4707675e-07  4.7841411e-07  5.0051137e-07
  7.7308989e-01  5.9402967e-09  3.9610696e-07  3.9615150e-07
  7.8131425e-01  1.6382891e-08  4.3941065e-07  4.3971595e-07
  7.8953861e-01  1.4406640e-07  5.0455261e-07  5.2471751e-07
  7.9776297e-01  4.0553008e-07  4.4746253e-07  6.0388522e-07
  8.0598733e-01  4.6515860e-07  3.6877155e-07  5.9360339e-07
  8.1421170e-01  4.6471552e-07  1.6502593e-07  4.9314711e-07
  8.2243606e-01  4.6099639e-07  1.1784554e-07  4.7582060e-07
  8.3066042e-01  4.6992707e-07  1.0976936e-07  4.8257721e-07
  8.3888478e-01  5.6702686e-07 -1.2137278e-07  5.7987138e-07
  8.4710914e-01  5.9696705e-07 -1.2774754e-07  6.1048267e-07
  8.5533350e-01  4.9387506e-07 -3.8285525e-07  6.2489256e-07
  8.6355786e-01  3.1340743e-07 -4.2956211e-07  5.3174038e-07
  8.7178222e-01  3.0098037e-07 -3.6036219e-07  4.6952114e-07
  8.8000658e-01  2.0607743e-07 -4.9850432e-07  5.3942049e-07
  8.8823094e-01  1.9041896e-07 -5.8486258e-07  6.1508017e-07
  8.9645530e-01 -8.6251439e-08 -5.9607817e-07  6.0228606e-07
  9.0467966e-01 -1.2538377e-07 -4.6001198e-07  4.7679357e-07
  9.1290402e-01 -1.1500883e-07 -5.2509165e-07  5.3753909e-07
  9.2112838e-01 -3.8056203e-07 -5.1647228e-07  6.4153805e-07
  9.2935274e-01 -5.0779372e-07 -5.1828880e-07  7.2558786e-07
  9.3757710e-01 -6.0454152e-07 -3.0158760e-07  6.7559272e-07
  9.4580146e-01 -5.7615977e-07 -1.3416280e-07  5.9157395e-07
  9.5402582e-01 -5.5754921e-07 -8.3882407e-08  5.6382389e-07
  9.6225019e-01 -5.6354875e-07  8.6297337e-08  5.7011790e-07
  9.7047455e-01 -5.3539625e-07  1.9650317e-07  5.7031802e-07
  9.7869891e-01 -3.8091233e-07  1.7375737e-07  4.1867150e-07
  9.8692327e-01 -4.1855231e-07  1.4690279e-07  4.4358366e-07
  9.9514763e-01 -6.2721949e-07  2.1170306e-07  6.6198374e-07
  1.0033720e+00 -5.8800208e-07  5.5595252e-07  8.0921546e-07
  1.0115963e+00 -4.6746986e-07  8.5293387e-07  9.7263778e-07
  1.0198207e+00 -1.6752911e-07  9.9273615e-07  1.0067726e-06
  1.0280451e+00  1.8460696e-07  9.1727036e-07  9.3566268e-07
  1.0362694e+00  2.2548338e-07  7.7209003e-07  8.0434182e-07
  1.0444938e+00  4.1505340e-07  7.2230222e-07  8.3306052e-07
  1.0527182e+00  6.0378187e-07  6.7063531e-07  9.0238809e-07
  1.0609425e+00  6.5337572e-07  4.8101035e-07  8.1133889e-07
  1.0691669e+00  5.5773015e-07  3.7590040e-07  6.7258013e-07
  1.0773912e+00  7.3229028e-07  5.1396000e-07  8.9465297e-07
  1.0856156e+00  1.0248856e-06  1.6305455e-07  1.0377752e-06
  1.0938400e+00  1.0719241e-06 -2.0651902e-07  1.0916371e-06
  1.1020643e+00  9.7497639e-07 -5.4580416e-07  1.1173545e-06
  1.1102887e+00  7.3089357e-07 -7.4715128e-07  1.0451988e-06
  1.1185130e+00  5.5781211e-07 -8.4561797e-07  1.0130272e-06
  1.1267374e+00  3.3985776e-07 -8.3655178e-07  9.0295192e-07
  1.1349618e+00  2.5730501e-07 -9.4018268e-07  9.7475605e-07
  1.1431861e+00  4.9042219e-08 -1.0631061e-06  1.0642367e-06
  1.1514105e+00 -2.2846895e-07 -9.1760446e-07  9.4561937e-07
  1.1596348e+00 -2.8986681e-07 -9.0032707e-07  9.4583910e-07
  1.1678592e+00 -4.5150992e-07 -8.5500133e-07  9.6689632e-07
  1.1760836e+00 -7.8234224e-07 -7.5850503e-07  1.0896739e-06
  1.1843079e+00 -9.6530325e-07 -4.5762120e-07  1.0682825e-06
  1.1925323e+00 -9.3183357e-07 -1.2405216e-07  9.4005464e-07
  1.2007566e+00 -8.2932195e-07 -1.4190673e-08  8.2944335e-07
  1.2089810e+00 -8.6933006e-07  8.9126010e-08  8.7388683e-07
  1.2172054e+00 -9.3578110e-07  3.8512324e-07  1.0119319e-06
  1.2254297e+00 -8.6514477e-07  6.8249338e-07  1.1019404e-06
  1.2336541e+00 -5.5423386e-07  8.3244992e-07  1.0000740e-06
  1.2418784e+00 -4.2524075e-07  7.5515379e-07  8.6665273e-07
  1.2501028e+00 -3.1609497e-07  8.1879253e-07  8.7768857e-07
  1.2583272e+00 -7.8891209e-08  7.7150098e-07  7.7552407e-07
  1.2665515e+00  1.3541653e-08  7.1985158e-07  7.1997894e-07
