Spectra of the acceleration (only positive half of the frequency range, not doubled in amplitude) 
Units as in the International System of Units (Hz, m, m/s, m/s^2) 
Time = 2012_11_12_11_15_04 - R= 0.63765 - M= 1.8 - Station =  INSH  - Channel = 2 
-------------------- 
f 	 Re 	 Im 	 Abs 
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  8.2243606e-03  7.2238016e-11 -1.3379475e-09  1.3398962e-09
  1.6448721e-02  2.8864938e-10 -2.6653250e-09  2.6809095e-09
  2.4673082e-02  6.4832687e-10 -3.9715935e-09  4.0241624e-09
  3.2897442e-02  1.1497612e-09 -5.2462759e-09  5.3707878e-09
  4.1121803e-02  1.7908454e-09 -6.4789879e-09  6.7219351e-09
  4.9346163e-02  2.5688806e-09 -7.6594689e-09  8.0787754e-09
  5.7570524e-02  3.4805839e-09 -8.7776134e-09  9.4425082e-09
  6.5794884e-02  4.5220981e-09 -9.8235018e-09  1.0814368e-08
  7.4019245e-02  5.6890039e-09 -1.0787432e-08  1.2195633e-08
  8.2243606e-02  6.9763339e-09 -1.1659951e-08  1.3587630e-08
  9.0467966e-02  8.3785901e-09 -1.2431888e-08  1.4991752e-08
  9.8692327e-02  9.8897642e-09 -1.3094386e-08  1.6409460e-08
  1.0691669e-01  1.1503362e-08 -1.3638937e-08  1.7842308e-08
  1.1514105e-01  1.3212436e-08 -1.4057415e-08  1.9291951e-08
  1.2336541e-01  1.5009618e-08 -1.4342116e-08  2.0760177e-08
  1.3158977e-01  1.6887165e-08 -1.4485802e-08  2.2248928e-08
  1.3981413e-01  1.8837023e-08 -1.4481721e-08  2.3760338e-08
  1.4803849e-01  2.0850884e-08 -1.4323694e-08  2.5296790e-08
  1.5626285e-01  2.2920564e-08 -1.4005949e-08  2.6861103e-08
  1.6448721e-01  2.5038942e-08 -1.3523684e-08  2.8457664e-08
  1.7271157e-01  2.7190633e-08 -1.2876754e-08  3.0085567e-08
  1.8093593e-01  2.9372196e-08 -1.2038595e-08  3.1743561e-08
  1.8916029e-01  3.1625175e-08 -1.1043860e-08  3.3498038e-08
  1.9738465e-01  3.3785019e-08 -9.8806965e-09  3.5200223e-08
  2.0560901e-01  3.6213062e-08 -8.3721197e-09  3.7168243e-08
  2.1383337e-01  3.8569968e-08 -7.2188634e-09  3.9239704e-08
  2.2205774e-01  4.0098200e-08 -5.2597787e-09  4.0441698e-08
  2.3028210e-01  4.3663134e-08 -2.6387250e-09  4.3742796e-08
  2.3850646e-01  4.7042329e-08 -4.3085751e-10  4.7044302e-08
  2.4673082e-01  4.8805066e-08  2.0774337e-09  4.8849260e-08
  2.5495518e-01  5.0176811e-08  4.7984328e-09  5.0405727e-08
  2.6317954e-01  4.2626088e-08  1.1859566e-08  4.4245143e-08
  2.7140390e-01  6.0008038e-08  1.2935681e-08  6.1386451e-08
  2.7962826e-01  8.0066050e-08 -3.2861735e-08  8.6547478e-08
  2.8785262e-01  4.0959778e-08  8.6809778e-09  4.1869593e-08
  2.9607698e-01  1.4592150e-07  3.9407275e-08  1.5114899e-07
  3.0430134e-01  1.1963092e-07 -4.1093180e-08  1.2649192e-07
  3.1252570e-01 -7.3288430e-09 -5.0775717e-08  5.1301904e-08
  3.2075006e-01 -1.0664456e-07 -1.9865689e-07  2.2547199e-07
  3.2897442e-01  5.8007093e-08 -2.5302862e-07  2.5959257e-07
  3.3719878e-01 -4.9689978e-08 -2.2505318e-07  2.3047348e-07
  3.4542314e-01  2.7382662e-07 -3.2271044e-08  2.7572167e-07
  3.5364750e-01  2.6632414e-07 -4.4949631e-07  5.2247055e-07
  3.6187186e-01 -1.2021706e-06 -1.8209692e-08  1.2023085e-06
  3.7009623e-01 -9.8024569e-07  4.6842372e-07  1.0864172e-06
  3.7832059e-01 -4.5743557e-07  8.1244616e-07  9.3237120e-07
  3.8654495e-01 -9.9030751e-07  5.7213180e-07  1.1436974e-06
  3.9476931e-01 -5.9620258e-07  1.1617374e-06  1.3057914e-06
  4.0299367e-01 -8.2500052e-07  1.3391239e-06  1.5728568e-06
  4.1121803e-01 -6.2009564e-07  2.1488002e-06  2.2364841e-06
  4.1944239e-01  6.3644679e-07  1.8923225e-06  1.9964842e-06
  4.2766675e-01  6.2461614e-07  2.0843727e-06  2.1759492e-06
  4.3589111e-01  1.7280160e-06  2.0537811e-06  2.6840373e-06
  4.4411547e-01  9.4077340e-07  7.8577806e-07  1.2257658e-06
  4.5233983e-01  1.3560621e-06  1.4250683e-06  1.9671615e-06
  4.6056419e-01  1.6610281e-06  5.3629175e-07  1.7454579e-06
  4.6878855e-01  2.2950845e-06 -6.9118073e-08  2.2961251e-06
  4.7701291e-01  3.1572017e-06 -2.4999986e-08  3.1573007e-06
  4.8523727e-01  2.8315070e-06 -1.5568235e-06  3.2312739e-06
  4.9346163e-01  2.8517264e-06 -1.9798221e-06  3.4716046e-06
  5.0168599e-01  1.4277976e-06 -2.8579224e-06  3.1947342e-06
  5.0991035e-01  9.6540850e-07 -2.6716666e-06  2.8407421e-06
  5.1813472e-01  1.6435492e-06 -2.2831234e-06  2.8131666e-06
  5.2635908e-01  9.0040050e-07 -3.5966656e-06  3.7076575e-06
  5.3458344e-01  1.2984028e-06 -3.4147522e-06  3.6532701e-06
  5.4280780e-01 -6.2145637e-07 -5.1078224e-06  5.1454891e-06
  5.5103216e-01 -3.0631649e-06 -4.0655608e-06  5.0903599e-06
  5.5925652e-01 -3.7265058e-06 -1.9434206e-06  4.2028239e-06
  5.6748088e-01 -4.1675751e-06 -1.0526265e-06  4.2984537e-06
  5.7570524e-01 -3.1198604e-06  3.3794045e-07  3.1381097e-06
  5.8392960e-01 -3.4810889e-06 -3.7117227e-07  3.5008211e-06
  5.9215396e-01 -4.2677694e-06  7.9252327e-07  4.3407314e-06
  6.0037832e-01 -4.4354971e-06  1.4195753e-06  4.6571267e-06
  6.0860268e-01 -4.9133542e-06  2.4913546e-06  5.5088926e-06
  6.1682704e-01 -4.5611655e-06  4.2854547e-06  6.2585424e-06
  6.2505140e-01 -4.3169440e-06  5.1154841e-06  6.6935927e-06
  6.3327576e-01 -1.4241434e-06  7.8061355e-06  7.9349818e-06
  6.4150012e-01  2.8018962e-07  4.7371607e-06  4.7454397e-06
  6.4972448e-01 -2.5219041e-08  3.6853889e-06  3.6854751e-06
  6.5794884e-01 -6.8109887e-07  5.5676119e-06  5.6091174e-06
  6.6617321e-01  4.9286868e-07  6.4751530e-06  6.4938837e-06
  6.7439757e-01  5.2556963e-06  7.4233501e-06  9.0955192e-06
  6.8262193e-01  6.3138213e-06  3.9892599e-06  7.4685028e-06
  6.9084629e-01  6.1752272e-06  1.1488338e-06  6.2811823e-06
  6.9907065e-01  5.6279494e-06  2.8515171e-06  6.3091175e-06
  7.0729501e-01  7.3269802e-06  7.2119958e-07  7.3623887e-06
  7.1551937e-01  8.0790584e-06 -8.6263340e-07  8.1249813e-06
  7.2374373e-01  8.6019686e-06 -9.3832737e-07  8.6529950e-06
  7.3196809e-01  8.7857237e-06 -4.3720096e-06  9.8134300e-06
  7.4019245e-01  8.5191488e-06 -7.2499241e-06  1.1186478e-05
  7.4841681e-01  5.1407476e-06 -9.2573076e-06  1.0588911e-05
  7.5664117e-01  3.8665863e-06 -9.4246404e-06  1.0186969e-05
  7.6486553e-01  3.3968310e-06 -1.1049278e-05  1.1559628e-05
  7.7308989e-01 -1.4016122e-07 -9.3461382e-06  9.3471891e-06
  7.8131425e-01 -3.9482238e-07 -1.0589655e-05  1.0597013e-05
  7.8953861e-01 -3.5454322e-06 -1.2416893e-05  1.2913145e-05
  7.9776297e-01 -1.0188976e-05 -1.1242533e-05  1.5172666e-05
  8.0598733e-01 -1.1929362e-05 -9.4574396e-06  1.5223431e-05
  8.1421170e-01 -1.2162465e-05 -4.3190337e-06  1.2906572e-05
  8.2243606e-01 -1.2310099e-05 -3.1468583e-06  1.2705953e-05
  8.3066042e-01 -1.2800803e-05 -2.9901151e-06  1.3145393e-05
  8.3888478e-01 -1.5753171e-05  3.3719852e-06  1.6110018e-05
  8.4710914e-01 -1.6911761e-05  3.6190204e-06  1.7294651e-05
  8.5533350e-01 -1.4264212e-05  1.1057713e-05  1.8048290e-05
  8.6355786e-01 -9.2268170e-06  1.2646449e-05  1.5654610e-05
  8.7178222e-01 -9.0305443e-06  1.0812222e-05  1.4087402e-05
  8.8000658e-01 -6.3003113e-06  1.5240545e-05  1.6491457e-05
  8.8823094e-01 -5.9309152e-06  1.8216518e-05  1.9157695e-05
  8.9645530e-01  2.7364238e-06  1.8911250e-05  1.9108202e-05
  9.0467966e-01  4.0512656e-06  1.4863412e-05  1.5405641e-05
  9.1290402e-01  3.7839130e-06  1.7276075e-05  1.7685609e-05
  9.2112838e-01  1.2747515e-05  1.7300039e-05  2.1489311e-05
  9.2935274e-01  1.7314431e-05  1.7672286e-05  2.4740639e-05
  9.3757710e-01  2.0979728e-05  1.0466156e-05  2.3445456e-05
  9.4580146e-01  2.0347105e-05  4.7379645e-06  2.0891458e-05
