Spectra of the acceleration (only positive half of the frequency range, not doubled in amplitude) 
Units as in the International System of Units (Hz, m, m/s, m/s^2) 
Time = 2012_11_12_11_15_04 - R= 0.63765 - M= 1.8 - Station =  INSH  - Channel = 3 
-------------------- 
f 	 Re 	 Im 	 Abs 
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  8.2504847e-03  5.0789119e-11 -2.6736164e-09  2.6740988e-09
  1.6500969e-02  2.0312283e-10 -5.3451549e-09  5.3490129e-09
  2.4751454e-02  4.5689967e-10 -8.0125413e-09  8.0255577e-09
  3.3001939e-02  8.1194892e-10 -1.0673710e-08  1.0704548e-08
  4.1252424e-02  1.2680279e-09 -1.3326607e-08  1.3386798e-08
  4.9502908e-02  1.8248185e-09 -1.5969196e-08  1.6073120e-08
  5.7753393e-02  2.4819213e-09 -1.8599461e-08  1.8764325e-08
  6.6003878e-02  3.2388499e-09 -2.1215414e-08  2.1461220e-08
  7.4254362e-02  4.0950211e-09 -2.3815101e-08  2.4164607e-08
  8.2504847e-02  5.0497442e-09 -2.6396604e-08  2.6875279e-08
  9.0755332e-02  6.1022070e-09 -2.8958057e-08  2.9594019e-08
  9.9005817e-02  7.2514572e-09 -3.1497647e-08  3.2321593e-08
  1.0725630e-01  8.4963793e-09 -3.4013629e-08  3.5058743e-08
  1.1550679e-01  9.8356663e-09 -3.6504341e-08  3.7806179e-08
  1.2375727e-01  1.1267780e-08 -3.8968211e-08  4.0564570e-08
  1.3200776e-01  1.2790908e-08 -4.1403789e-08  4.3334525e-08
  1.4025824e-01  1.4402888e-08 -4.3809749e-08  4.6116562e-08
  1.4850872e-01  1.6101021e-08 -4.6185060e-08  4.8911171e-08
  1.5675921e-01  1.7882410e-08 -4.8529133e-08  5.1719023e-08
  1.6500969e-01  1.9743027e-08 -5.0840818e-08  5.4539673e-08
  1.7326018e-01  2.1676896e-08 -5.3121718e-08  5.7374252e-08
  1.8151066e-01  2.3682109e-08 -5.5372035e-08  6.0223787e-08
  1.8976115e-01  2.5743721e-08 -5.7586025e-08  6.3078439e-08
  1.9801163e-01  2.7846630e-08 -5.9785347e-08  6.5952426e-08
  2.0626212e-01  2.9995681e-08 -6.1955471e-08  6.8834738e-08
  2.1451260e-01  3.2099570e-08 -6.4098215e-08  7.1686564e-08
  2.2276309e-01  3.4141343e-08 -6.6308752e-08  7.4582048e-08
  2.3101357e-01  3.6211915e-08 -6.8449252e-08  7.7437735e-08
  2.3926406e-01  3.8001732e-08 -7.0721284e-08  8.0284691e-08
  2.4751454e-01  3.9838025e-08 -7.3269853e-08  8.3399878e-08
  2.5576503e-01  4.1768369e-08 -7.5796352e-08  8.6542958e-08
  2.6401551e-01  4.3056115e-08 -7.9204296e-08  9.0150705e-08
  2.7226600e-01  4.4324569e-08 -8.4249125e-08  9.5197597e-08
  2.8051648e-01  4.1866239e-08 -8.8876782e-08  9.8243903e-08
  2.8876697e-01  4.3564204e-08 -9.1061146e-08  1.0094539e-07
  2.9701745e-01  4.8591003e-08 -9.4526743e-08  1.0628448e-07
  3.0526793e-01  6.2900642e-08 -1.0098903e-07  1.1897594e-07
  3.1351842e-01  6.1497479e-08 -1.1678053e-07  1.3198346e-07
  3.2176890e-01  5.4734187e-08 -1.1719469e-07  1.2934615e-07
  3.3001939e-01  5.3699318e-08 -7.5595535e-08  9.2727028e-08
  3.3826987e-01  8.8295835e-08  7.0709114e-09  8.8578509e-08
  3.4652036e-01  3.8452063e-07 -1.3762166e-08  3.8476683e-07
  3.5477084e-01  3.9641643e-07 -2.3176634e-07  4.5919671e-07
  3.6302133e-01  3.6737156e-07 -3.8278132e-07  5.3055009e-07
  3.7127181e-01  2.9757105e-07 -3.2080506e-07  4.3756646e-07
  3.7952230e-01  2.7908373e-07 -3.0812013e-07  4.1572316e-07
  3.8777278e-01  2.4648532e-07 -4.8435987e-07  5.4346987e-07
  3.9602327e-01  9.5614445e-08 -2.7169528e-07  2.8802855e-07
  4.0427375e-01  1.1419748e-07 -4.1793915e-07  4.3325996e-07
  4.1252424e-01 -3.3658844e-08 -4.7791113e-07  4.7909494e-07
  4.2077472e-01 -3.1162084e-07 -2.7273437e-08  3.1281206e-07
  4.2902521e-01 -1.3040305e-07  5.0960227e-07  5.2602227e-07
