2023-01-11T13:55:29;49.174;8.168;5;0.7;Insheim
2023-01-10T19:02:01;49.144;8.134;7.9;0.7;Insheim
2023-01-10T10:45:58;49.157;8.15;8.9;2;Insheim
2022-12-22T06:05:04;49.147;8.155;5;1.7;Insheim
2022-12-17T07:24:35;49.155;8.155;5;1.9;Insheim
2022-11-28T17:38:35;49.169;8.147;7;0.5;Insheim
2022-11-19T03:59:04;49.157;8.171;6.1;0.8;Insheim
2022-09-22T02:36:06;49.164;8.144;3.8;0.5;Insheim
2022-09-20T20:45:41;49.162;8.143;6;0.7;Insheim
2022-07-21T23:47:40;49.153;8.141;5;0.6;Insheim
2022-04-27T22:54:46;49.154;8.158;4;0.5;Insheim
2022-04-25T00:58:55;49.145;8.16;3.7;0.5;Insheim
2022-03-16T14:53:57;49.149;8.147;3;1;Insheim
2022-03-16T01:11:52;49.153;8.144;3.8;0.3;Insheim
2022-03-07T03:05:03;49.155;8.15;3.1;0.7;Insheim
2022-03-01T22:39:16;49.147;8.155;4;0.4;Insheim
2022-02-28T19:32:17;49.145;8.139;3.8;0.6;Insheim
2022-02-01T00:48:12;49.149;8.147;5.2;1.2;Insheim
2022-01-31T04:06:10;49.15;8.147;5.2;1.2;Insheim
2022-01-25T15:27:49;49.132;8.147;5;1.1;Insheim
2022-01-11T22:36:30;49.149;8.188;4;0.4;Insheim
2022-01-08T07:28:29;49.154;8.135;4;0.6;Insheim
2021-12-30T18:31:50;49.159;8.162;3.7;0.8;Insheim
2021-12-23T13:54:18;49.155;8.176;4;0.8;Insheim
2021-12-22T01:21:05;49.171;8.189;4;0.3;Insheim
2021-12-15T23:02:26;49.169;8.17;4;0.3;Insheim
2021-12-15T18:17:05;49.156;8.152;4;0.3;Insheim
2021-12-13T21:01:08;49.139;8.147;5.2;0.6;Insheim
2021-12-11T04:13:21;49.148;8.147;4;0.6;Insheim
2021-12-06T16:50:11;49.151;8.155;4;0.9;Insheim
2021-11-25T02:12:54;49.146;8.149;2.9;0.2;Insheim
2021-11-25T00:08:56;49.15;8.155;4;0.4;Insheim
2021-11-19T22:51:54;49.148;8.149;4;0.5;Insheim
2021-11-18T06:58:45;49.147;8.155;2.4;0.5;Insheim
2021-11-03T20:40:15;49.15;8.147;3.9;0.9;Insheim
2021-09-30T23:15:16;49.153;8.156;4;0.5;Insheim
2021-08-21T17:00:29;49.149;8.146;4;1.2;Insheim
2021-08-21T16:25:38;49.149;8.146;4;1.1;Insheim
2021-08-18T06:18:09;49.185;8.164;4;1.2;Insheim
2021-08-05T23:33:26;49.184;8.22;4;0.4;Insheim
2021-07-30T19:46:16;49.153;8.148;5.2;0.7;Insheim
2021-06-28T22:30:14;49.149;8.186;4;0.2;Insheim
2021-06-07T23:00:44;49.158;8.175;4;0;Insheim
2021-06-06T00:58:34;49.149;8.157;4;0.4;Insheim
2021-06-05T21:55:22;49.153;8.155;3.9;1;Insheim
2021-06-04T11:23:23;49.157;8.155;4;0.8;Insheim
2021-06-01T17:45:54;49.148;8.168;4;0.5;Insheim
2021-06-01T07:17:40;49.145;8.152;4;0.6;Insheim
2021-04-29T01:38:05;49.162;8.147;6.3;0.3;Insheim
2021-04-21T04:22:48;49.157;8.141;4;0.3;Insheim
2021-03-27T14:18:43;49.158;8.141;5;1.3;Insheim
2021-03-16T21:54:23;49.154;8.142;3.9;0.4;Insheim
2021-02-26T16:28:45;49.163;8.161;5.3;1.2;Insheim
2021-01-08T05:14:16;49.14;8.15;7.7;0.7;Insheim
2020-11-09T21:47:07;49.154;8.135;7;1.1;Insheim
