  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000335E+01  -0.1921551E-02   0.1000335E+01  -0.3354864E-04
 0.2099800E+00   0.1000335E+01  -0.1921551E-02   0.1000335E+01  -0.3354864E-04
 0.4000000E+00   0.1001232E+01  -0.7062149E-02   0.1001232E+01  -0.1234096E-03
 0.6000000E+00   0.1002756E+01  -0.1580527E-01   0.1002756E+01  -0.2766144E-03
 0.8000000E+00   0.1004896E+01  -0.2807476E-01   0.1004896E+01  -0.4923961E-03
 0.1000000E+01   0.1007657E+01  -0.4389588E-01   0.1007657E+01  -0.7719938E-03
 0.1200000E+01   0.1011046E+01  -0.6329985E-01   0.1011046E+01  -0.1116994E-02
 0.1400000E+01   0.1015073E+01  -0.8632406E-01   0.1015072E+01  -0.1529348E-02
 0.1600000E+01   0.1019747E+01  -0.1130123E+00   0.1019745E+01  -0.2011386E-02
 0.1800000E+01   0.1025083E+01  -0.1434151E+00   0.1025080E+01  -0.2565846E-02
 0.2000000E+01   0.1031093E+01  -0.1775900E+00   0.1031088E+01  -0.3195900E-02
 0.2200000E+01   0.1037796E+01  -0.2156022E+00   0.1037789E+01  -0.3905184E-02
 0.2400000E+01   0.1045209E+01  -0.2575247E+00   0.1045199E+01  -0.4697838E-02
 0.2600000E+01   0.1053355E+01  -0.3034392E+00   0.1053340E+01  -0.5578552E-02
 0.2800000E+01   0.1062255E+01  -0.3534364E+00   0.1062235E+01  -0.6552615E-02
 0.3000000E+01   0.1071936E+01  -0.4076173E+00   0.1071909E+01  -0.7625974E-02
 0.3200000E+01   0.1082428E+01  -0.4660931E+00   0.1082392E+01  -0.8805304E-02
 0.3400000E+01   0.1093762E+01  -0.5289871E+00   0.1093715E+01  -0.1009809E-01
 0.3600000E+01   0.1105973E+01  -0.5964351E+00   0.1105913E+01  -0.1151270E-01
 0.3800000E+01   0.1119100E+01  -0.6685868E+00   0.1119024E+01  -0.1305852E-01
 0.4000000E+01   0.1133185E+01  -0.7456073E+00   0.1133089E+01  -0.1474606E-01
 0.4200000E+01   0.1148276E+01  -0.8276783E+00   0.1148156E+01  -0.1658708E-01
 0.4400000E+01   0.1164423E+01  -0.9150003E+00   0.1164275E+01  -0.1859478E-01
 0.4600000E+01   0.1181684E+01  -0.1007794E+01   0.1181501E+01  -0.2078395E-01
