  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1005101E+01  -0.2920994E-01   0.1005101E+01  -0.5124104E-03
 0.2099800E+00   0.1005101E+01  -0.2920994E-01   0.1005101E+01  -0.5124104E-03
 0.4000000E+00   0.1018959E+01  -0.1083958E+00   0.1018957E+01  -0.1927730E-02
 0.6000000E+00   0.1043241E+01  -0.2464512E+00   0.1043232E+01  -0.4487368E-02
 0.8000000E+00   0.1078937E+01  -0.4478547E+00   0.1078904E+01  -0.8433470E-02
 0.1000000E+01   0.1128005E+01  -0.7219552E+00   0.1127915E+01  -0.1421304E-01
 0.1200000E+01   0.1193403E+01  -0.1082894E+01   0.1193190E+01  -0.2255404E-01
 0.1400000E+01   0.1279583E+01  -0.1551964E+01   0.1279114E+01  -0.3465569E-01
 0.1600000E+01   0.1393349E+01  -0.2161788E+01   0.1392357E+01  -0.5255904E-01
 0.1800000E+01   0.1545444E+01  -0.2964041E+01   0.1543377E+01  -0.7991371E-01
 0.2000000E+01   0.1753662E+01  -0.4044739E+01   0.1749294E+01  -0.1236952E+00
 0.2200000E+01   0.2049460E+01  -0.5557198E+01   0.2039828E+01  -0.1984685E+00
 0.2400000E+01   0.2493619E+01  -0.7801717E+01   0.2470538E+01  -0.3384970E+00
 0.2600000E+01   0.3218785E+01  -0.1145066E+02   0.3154718E+01  -0.6390060E+00
 0.2800000E+01   0.4566776E+01  -0.1833982E+02   0.4334815E+01  -0.1436946E+01
 0.3000000E+01   0.7565360E+01  -0.3518977E+02   0.6182774E+01  -0.4359814E+01
 0.3200000E+01   0.1183920E+02  -0.8605009E+02   0.8155347E+00  -0.1181108E+02
 0.3400000E+01   0.7564061E+01  -0.1350314E+03  -0.5351531E+01  -0.5345666E+01
 0.3600000E+01   0.4615012E+01  -0.1540279E+03  -0.4148929E+01  -0.2021070E+01
 0.3800000E+01   0.3177065E+01  -0.1618315E+03  -0.3018668E+01  -0.9906488E+00
 0.4000000E+01   0.2411655E+01  -0.1658287E+03  -0.2338263E+01  -0.5904275E+00
 0.4200000E+01   0.1946586E+01  -0.1683012E+03  -0.1906149E+01  -0.3947034E+00
 0.4400000E+01   0.1637474E+01  -0.1700199E+03  -0.1612695E+01  -0.2837841E+00
 0.4600000E+01   0.1419167E+01  -0.1713155E+03  -0.1402896E+01  -0.2142836E+00
 0.4800000E+01   0.1258299E+01  -0.1723541E+03  -0.1247112E+01  -0.1674163E+00
 0.5000000E+01   0.1136112E+01  -0.1732287E+03  -0.1128187E+01  -0.1339553E+00
 0.5200000E+01   0.1041289E+01  -0.1739958E+03  -0.1035577E+01  -0.1089197E+00
 0.5400000E+01   0.9666341E+00  -0.1746926E+03  -0.9624899E+00  -0.8941334E-01
 0.5600000E+01   0.9073766E+00  -0.1753447E+03  -0.9043831E+00  -0.7364400E-01
 0.5800000E+01   0.8602571E+00  -0.1759712E+03  -0.8581313E+00  -0.6043963E-01
 0.6000000E+01   0.8230015E+00  -0.1765873E+03  -0.8215420E+00  -0.4899126E-01
 0.6200000E+01   0.7940075E+00  -0.1772058E+03  -0.7930635E+00  -0.3870744E-01
 0.6400000E+01   0.7721513E+00  -0.1778382E+03  -0.7716018E+00  -0.2912615E-01
 0.6600000E+01   0.7566673E+00  -0.1784962E+03  -0.7564067E+00  -0.1985695E-01
 0.6800000E+01   0.7470741E+00  -0.1791917E+03  -0.7469998E+00  -0.1053853E-01
 0.7000000E+01   0.7431328E+00  -0.1799381E+03  -0.7431323E+00  -0.8026799E-03
 0.7200000E+01   0.7448292E+00   0.1792490E+03  -0.7447653E+00   0.9762508E-02
 0.7400000E+01   0.7523788E+00   0.1783505E+03  -0.7520671E+00   0.2165685E-01
 0.7600000E+01   0.7662532E+00   0.1773424E+03  -0.7654291E+00   0.3552866E-01
 0.7800000E+01   0.7872351E+00   0.1761933E+03  -0.7854982E+00   0.5226545E-01
 0.8000000E+01   0.8165108E+00   0.1748609E+03  -0.8132286E+00   0.7313804E-01
 0.8200000E+01   0.8558192E+00   0.1732871E+03  -0.8499519E+00   0.1000407E+00
 0.8400000E+01   0.9076848E+00   0.1713887E+03  -0.8974524E+00   0.1359075E+00
 0.8600000E+01   0.9757827E+00   0.1690435E+03  -0.9579960E+00   0.1854605E+00
 0.8800000E+01   0.1065491E+01   0.1660647E+03  -0.1034132E+01   0.2565974E+00
 0.9000000E+01   0.1184653E+01   0.1621565E+03  -0.1127668E+01   0.3629987E+00
 0.9200000E+01   0.1344261E+01   0.1568333E+03  -0.1235865E+01   0.5288423E+00
 0.9400000E+01   0.1557236E+01   0.1492830E+03  -0.1338756E+01   0.7954334E+00
 0.9600000E+01   0.1827249E+01   0.1382039E+03  -0.1362254E+01   0.1217827E+01
 0.9800000E+01   0.2104769E+01   0.1220118E+03  -0.1115726E+01   0.1784714E+01
 0.1000000E+02   0.2221448E+01   0.1007468E+03  -0.4142304E+00   0.2182486E+01
 0.1020000E+02   0.2033687E+01   0.7880092E+02   0.3949798E+00   0.1994962E+01
 0.1040000E+02   0.1677216E+01   0.6121970E+02   0.8074996E+00   0.1470033E+01
 0.1060000E+02   0.1337739E+01   0.4891030E+02   0.8792152E+00   0.1008229E+01
 0.1080000E+02   0.1073578E+01   0.4053173E+02   0.8159690E+00   0.6976852E+00
