  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000024E+01  -0.1397911E-03   0.1000024E+01  -0.2439873E-05
 0.2099800E+00   0.1000024E+01  -0.1397911E-03   0.1000024E+01  -0.2439873E-05
 0.4000000E+00   0.1000088E+01  -0.5312776E-03   0.1000088E+01  -0.9273361E-05
 0.6000000E+00   0.1000200E+01  -0.1241730E-02   0.1000200E+01  -0.2167660E-04
 0.8000000E+00   0.1000361E+01  -0.2328296E-02   0.1000361E+01  -0.4065108E-04
 0.1000000E+01   0.1000577E+01  -0.3889222E-02   0.1000577E+01  -0.6791893E-04
 0.1200000E+01   0.1000858E+01  -0.6076216E-02   0.1000858E+01  -0.1061410E-03
 0.1400000E+01   0.1001217E+01  -0.9130070E-02   0.1001217E+01  -0.1595437E-03
 0.1600000E+01   0.1001674E+01  -0.1344925E-01   0.1001674E+01  -0.2351265E-03
 0.1800000E+01   0.1002260E+01  -0.1973026E-01   0.1002260E+01  -0.3451362E-03
 0.2000000E+01   0.1003026E+01  -0.2927895E-01   0.1003026E+01  -0.5125607E-03
 0.2200000E+01   0.1004063E+01  -0.4477495E-01   0.1004063E+01  -0.7846452E-03
 0.2400000E+01   0.1005535E+01  -0.7241823E-01   0.1005534E+01  -0.1270932E-02
 0.2600000E+01   0.1007778E+01  -0.1291483E+00   0.1007776E+01  -0.2271594E-02
 0.2800000E+01   0.1011502E+01  -0.2737637E+00   0.1011491E+01  -0.4833020E-02
 0.3000000E+01   0.1017139E+01  -0.7836859E+00   0.1017044E+01  -0.1391189E-01
 0.3200000E+01   0.1000924E+01  -0.2063461E+01   0.1000275E+01  -0.3603969E-01
 0.3400000E+01   0.9825726E+00  -0.9244566E+00   0.9824447E+00  -0.1585294E-01
 0.3600000E+01   0.9867139E+00  -0.3435872E+00   0.9866961E+00  -0.5917020E-02
 0.3800000E+01   0.9905280E+00  -0.1701361E+00   0.9905236E+00  -0.2941303E-02
 0.4000000E+01   0.9929447E+00  -0.1061077E+00   0.9929430E+00  -0.1838862E-02
 0.4200000E+01   0.9946086E+00  -0.7703909E-01   0.9946077E+00  -0.1337336E-02
 0.4400000E+01   0.9958630E+00  -0.6238326E-01   0.9958625E+00  -0.1084289E-02
 0.4600000E+01   0.9968794E+00  -0.5480866E-01   0.9968789E+00  -0.9536064E-03
 0.4800000E+01   0.9977498E+00  -0.5118837E-01   0.9977494E+00  -0.8913952E-03
 0.5000000E+01   0.9985277E+00  -0.5001114E-01   0.9985273E+00  -0.8715738E-03
 0.5200000E+01   0.9992461E+00  -0.5047638E-01   0.9992457E+00  -0.8803147E-03
 0.5400000E+01   0.9999266E+00  -0.5212910E-01   0.9999262E+00  -0.9097574E-03
 0.5600000E+01   0.1000584E+01  -0.5469551E-01   0.1000583E+01  -0.9551736E-03
 0.5800000E+01   0.1001227E+01  -0.5800219E-01   0.1001227E+01  -0.1013571E-02
 0.6000000E+01   0.1001865E+01  -0.6193305E-01   0.1001865E+01  -0.1082952E-02
 0.6200000E+01   0.1002503E+01  -0.6640454E-01   0.1002502E+01  -0.1161878E-02
 0.6400000E+01   0.1003144E+01  -0.7134983E-01   0.1003143E+01  -0.1249204E-02
 0.6600000E+01   0.1003791E+01  -0.7670738E-01   0.1003790E+01  -0.1343871E-02
 0.6800000E+01   0.1004446E+01  -0.8241092E-01   0.1004445E+01  -0.1444737E-02
 0.7000000E+01   0.1005111E+01  -0.8837889E-01   0.1005110E+01  -0.1550386E-02
 0.7200000E+01   0.1005786E+01  -0.9450127E-01   0.1005785E+01  -0.1658901E-02
 0.7400000E+01   0.1006470E+01  -0.1006213E+00   0.1006468E+01  -0.1767534E-02
 0.7600000E+01   0.1007161E+01  -0.1065080E+00   0.1007159E+01  -0.1872226E-02
 0.7800000E+01   0.1007857E+01  -0.1118136E+00   0.1007855E+01  -0.1966847E-02
 0.8000000E+01   0.1008552E+01  -0.1160036E+00   0.1008550E+01  -0.2041958E-02
 0.8200000E+01   0.1009241E+01  -0.1182398E+00   0.1009239E+01  -0.2082743E-02
 0.8400000E+01   0.1009913E+01  -0.1171785E+00   0.1009911E+01  -0.2065423E-02
 0.8600000E+01   0.1010558E+01  -0.1106078E+00   0.1010557E+01  -0.1950853E-02
 0.8800000E+01   0.1011167E+01  -0.9478721E-01   0.1011166E+01  -0.1672822E-02
 0.9000000E+01   0.1011741E+01  -0.6323150E-01   0.1011741E+01  -0.1116555E-02
 0.9200000E+01   0.1012334E+01  -0.4610558E-02   0.1012334E+01  -0.8146191E-04
 0.9400000E+01   0.1013164E+01   0.9980585E-01   0.1013163E+01   0.1764871E-02
 0.9600000E+01   0.1014937E+01   0.2723859E+00   0.1014925E+01   0.4825022E-02
 0.9800000E+01   0.1019309E+01   0.4960311E+00   0.1019271E+01   0.8824435E-02
 0.1000000E+02   0.1027597E+01   0.6065356E+00   0.1027540E+01   0.1087798E-01
 0.1020000E+02   0.1036411E+01   0.4242731E+00   0.1036382E+01   0.7674511E-02
 0.1040000E+02   0.1041675E+01   0.9766337E-01   0.1041674E+01   0.1775584E-02
 0.1060000E+02   0.1044274E+01  -0.1882984E+00   0.1044268E+01  -0.3431923E-02
 0.1080000E+02   0.1046073E+01  -0.4053160E+00   0.1046047E+01  -0.7399963E-02
 0.1100000E+02   0.1047960E+01  -0.5795083E+00   0.1047906E+01  -0.1059923E-01
 0.1120000E+02   0.1050227E+01  -0.7360348E+00   0.1050140E+01  -0.1349109E-01
 0.1140000E+02   0.1052966E+01  -0.8925970E+00   0.1052838E+01  -0.1640323E-01
 0.1160000E+02   0.1056211E+01  -0.1062746E+01   0.1056029E+01  -0.1958992E-01
 0.1180000E+02   0.1059983E+01  -0.1259233E+01   0.1059727E+01  -0.2329419E-01
 0.1200000E+02   0.1064292E+01  -0.1496706E+01   0.1063929E+01  -0.2779876E-01
 0.1220000E+02   0.1069103E+01  -0.1794307E+01   0.1068579E+01  -0.3347517E-01
 0.1240000E+02   0.1074264E+01  -0.2178385E+01   0.1073488E+01  -0.4083366E-01
 0.1260000E+02   0.1079333E+01  -0.2684086E+01   0.1078149E+01  -0.5054409E-01
 0.1280000E+02   0.1083235E+01  -0.3349496E+01   0.1081385E+01  -0.6328956E-01
 0.1300000E+02   0.1083802E+01  -0.4182449E+01   0.1080916E+01  -0.7904462E-01
 0.1320000E+02   0.1078124E+01  -0.5071466E+01   0.1073903E+01  -0.9530429E-01
 0.1340000E+02   0.1065972E+01  -0.5719893E+01   0.1060665E+01  -0.1062404E+00
 0.1360000E+02   0.1053697E+01  -0.5905017E+01   0.1048106E+01  -0.1084040E+00
 0.1380000E+02   0.1048393E+01  -0.5845756E+01   0.1042941E+01  -0.1067796E+00
 0.1400000E+02   0.1050221E+01  -0.5951412E+01   0.1044561E+01  -0.1088922E+00
 0.1420000E+02   0.1054867E+01  -0.6462604E+01   0.1048163E+01  -0.1187302E+00
 0.1440000E+02   0.1057105E+01  -0.7455644E+01   0.1048168E+01  -0.1371685E+00
 0.1460000E+02   0.1050890E+01  -0.8889397E+01   0.1038267E+01  -0.1623915E+00
 0.1480000E+02   0.1029596E+01  -0.1050049E+02   0.1012353E+01  -0.1876375E+00
 0.1500000E+02   0.9908609E+00  -0.1165352E+02   0.9704363E+00  -0.2001468E+00
 0.1520000E+02   0.9440895E+00  -0.1159219E+02   0.9248325E+00  -0.1897095E+00
 0.1540000E+02   0.9061170E+00  -0.1020714E+02   0.8917763E+00  -0.1605707E+00
 0.1560000E+02   0.8857071E+00  -0.8187788E+01   0.8766787E+00  -0.1261406E+00
 0.1580000E+02   0.8801291E+00  -0.6254014E+01   0.8748912E+00  -0.9587820E-01
 0.1600000E+02   0.8830786E+00  -0.4709623E+01   0.8800970E+00  -0.7250596E-01
 0.1620000E+02   0.8898102E+00  -0.3565693E+01   0.8880876E+00  -0.5533990E-01
 0.1640000E+02   0.8977350E+00  -0.2737992E+01   0.8967102E+00  -0.4288371E-01
 0.1660000E+02   0.9056515E+00  -0.2138694E+01   0.9050206E+00  -0.3379763E-01
 0.1680000E+02   0.9130715E+00  -0.1700021E+01   0.9126697E+00  -0.2708773E-01
 0.1700000E+02   0.9198406E+00  -0.1374253E+01   0.9195760E+00  -0.2206048E-01
