  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1002825E+01  -0.1620996E-01   0.1002825E+01  -0.2837165E-03
 0.2099800E+00   0.1002825E+01  -0.1620996E-01   0.1002825E+01  -0.2837165E-03
 0.4000000E+00   0.1010491E+01  -0.6041812E-01   0.1010491E+01  -0.1065558E-02
 0.6000000E+00   0.1023894E+01  -0.1384182E+00   0.1023891E+01  -0.2473574E-02
 0.8000000E+00   0.1043529E+01  -0.2542804E+00   0.1043519E+01  -0.4631199E-02
 0.1000000E+01   0.1070400E+01  -0.4158003E+00   0.1070372E+01  -0.7767916E-02
 0.1200000E+01   0.1106019E+01  -0.6349701E+00   0.1105952E+01  -0.1225701E-01
 0.1400000E+01   0.1152658E+01  -0.9302023E+00   0.1152506E+01  -0.1871269E-01
 0.1600000E+01   0.1213781E+01  -0.1330304E+01   0.1213454E+01  -0.2817925E-01
 0.1800000E+01   0.1294842E+01  -0.1881918E+01   0.1294144E+01  -0.4252231E-01
 0.2000000E+01   0.1404851E+01  -0.2664381E+01   0.1403332E+01  -0.6530515E-01
 0.2200000E+01   0.1559673E+01  -0.3822040E+01   0.1556204E+01  -0.1039642E+00
 0.2400000E+01   0.1789807E+01  -0.5642895E+01   0.1781133E+01  -0.1759880E+00
 0.2600000E+01   0.2161293E+01  -0.8781870E+01   0.2135956E+01  -0.3299713E+00
 0.2800000E+01   0.2841867E+01  -0.1504843E+02   0.2744410E+01  -0.7378493E+00
 0.3000000E+01   0.4315174E+01  -0.3111740E+02   0.3694264E+01  -0.2230053E+01
 0.3200000E+01   0.6109355E+01  -0.8092825E+02   0.9632697E+00  -0.6032938E+01
 0.3400000E+01   0.3494483E+01  -0.1284943E+03  -0.2175095E+01  -0.2735028E+01
 0.3600000E+01   0.1868443E+01  -0.1461840E+03  -0.1552356E+01  -0.1039840E+01
 0.3800000E+01   0.1094621E+01  -0.1519115E+03  -0.9656980E+00  -0.5153866E+00
 0.4000000E+01   0.6833868E+00  -0.1527737E+03  -0.6076718E+00  -0.3126538E+00
 0.4200000E+01   0.4322938E+00  -0.1502590E+03  -0.3753506E+00  -0.2144523E+00
 0.4400000E+01   0.2660055E+00  -0.1430939E+03  -0.2127035E+00  -0.1597377E+00
 0.4600000E+01   0.1560814E+00  -0.1259168E+03  -0.9155890E-01  -0.1264056E+00
 0.4800000E+01   0.1049634E+00  -0.8818359E+02   0.3327028E-02  -0.1049106E+00
 0.5000000E+01   0.1214238E+00  -0.4825269E+02   0.8084964E-01  -0.9059294E-01
